area_id,source_id,source_name,statistics_code,provider_statistic_id_or_tstat,statsDataId,census_year,cdTime,prefecture_name,prefecture_code,municipality_code,municipality_name,municipality_type,area_dimension_source,area_code_confirmed,included_in_target_scope,is_special_ward,is_designated_city_ward,is_city,is_town,is_village,expected_join_key_to_N03,join_key_status,leading_zero_required,normalization_needed,notes
AC_0001,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,Saitama,11,11000,埼玉県,prefecture_total,e-Stat getMetaInfo area dimension (metadata only; no values retrieved),yes,no,false,false,false,false,false,11000,not_applicable,no,no,prefecture total row; not a municipality; excluded from target
AC_0002,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,Saitama,11,11100,さいたま市,designated_city_parent,e-Stat getMetaInfo area dimension (metadata only; no values retrieved),yes,no,false,false,false,false,false,11100,not_applicable,no,no,designated-city parent aggregate; excluded to avoid double count; use its wards
AC_0003,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,Saitama,11,11101,さいたま市西区,designated_city_ward,e-Stat getMetaInfo area dimension (metadata only; no values retrieved),yes,yes,false,true,false,false,false,11101,expected_direct_5digit_join,no,no,standard 5-digit JIS municipality code
AC_0004,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,Saitama,11,11102,さいたま市北区,designated_city_ward,e-Stat getMetaInfo area dimension (metadata only; no values retrieved),yes,yes,false,true,false,false,false,11102,expected_direct_5digit_join,no,no,standard 5-digit JIS municipality code
AC_0005,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,Saitama,11,11103,さいたま市大宮区,designated_city_ward,e-Stat getMetaInfo area dimension (metadata only; no values retrieved),yes,yes,false,true,false,false,false,11103,expected_direct_5digit_join,no,no,standard 5-digit JIS municipality code
AC_0006,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,Saitama,11,11104,さいたま市見沼区,designated_city_ward,e-Stat getMetaInfo area dimension (metadata only; no values retrieved),yes,yes,false,true,false,false,false,11104,expected_direct_5digit_join,no,no,standard 5-digit JIS municipality code
AC_0007,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,Saitama,11,11105,さいたま市中央区,designated_city_ward,e-Stat getMetaInfo area dimension (metadata only; no values retrieved),yes,yes,false,true,false,false,false,11105,expected_direct_5digit_join,no,no,standard 5-digit JIS municipality code
AC_0008,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,Saitama,11,11106,さいたま市桜区,designated_city_ward,e-Stat getMetaInfo area dimension (metadata only; no values retrieved),yes,yes,false,true,false,false,false,11106,expected_direct_5digit_join,no,no,standard 5-digit JIS municipality code
AC_0009,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,Saitama,11,11107,さいたま市浦和区,designated_city_ward,e-Stat getMetaInfo area dimension (metadata only; no values retrieved),yes,yes,false,true,false,false,false,11107,expected_direct_5digit_join,no,no,standard 5-digit JIS municipality code
AC_0010,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,Saitama,11,11108,さいたま市南区,designated_city_ward,e-Stat getMetaInfo area dimension (metadata only; no values retrieved),yes,yes,false,true,false,false,false,11108,expected_direct_5digit_join,no,no,standard 5-digit JIS municipality code
