design_id,source_id,source_name,statistics_code,provider_statistic_id_or_tstat,statsDataId,census_year,cdTime,cdCat01,cat02_foreign_total,cat02_china,target_prefecture,target_prefecture_code,target_area_code_strategy,expected_municipality_unit,expected_join_key,join_key_to_N03,planned_variable,variable_formula,planned_api_method,planned_api_parameters,planned_extraction_scope,large_extraction_risk,raw_output_storage_rule,processed_output_storage_rule,provenance_log_required,quality_checks_required,script_needed,recommended_script_name,run_mode,manual_check_before_run,risk_level,recommended_next_action,notes
EXD_001,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) - 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,0,1,102,all four,"13,11,12,14",cdArea = confirmed municipality list per prefecture (NOT yet enumerated),municipality (shikuchoson; special wards + designated-city wards + cities/towns/villages),5-digit JIS area code,yes (5-digit JIS == N03 gyosei kuiki code),chinese_residents,"chinese_residents = value where cat02=102 (China), cat01=0, cdTime=2020000000",getStatsData (bounded),statsDataId=0003445244; cdCat01=0; cdCat02=102; cdArea=<target municipality list>; cdTime=2020000000; metaGetFlg=N; appId from env,bounded: 4 target prefectures' municipalities only; NOT all-Japan,medium,"data_raw_official/census_00200521_2020_municipality/ (local-only, gitignored; never committed)",data_processed_official/population/ (local-only; commit only small derived summaries if approved),yes,(see QC row EXD_011),yes,scripts/11_official_data/census_00200521_municipality_population_extract.py,design_only_no_extraction,yes,low,create_bounded_extraction_script,"China nationality (Census-declared), not ethnicity. Same table as total for clean subtraction."
EXD_002,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) - 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,0,1,102,all four,"13,11,12,14",cdArea = confirmed municipality list per prefecture (NOT yet enumerated),municipality (shikuchoson; special wards + designated-city wards + cities/towns/villages),5-digit JIS area code,yes (5-digit JIS == N03 gyosei kuiki code),total_foreign,"total_foreign = value where cat02=1 (foreign total), cat01=0, cdTime=2020000000",getStatsData (bounded),statsDataId=0003445244; cdCat01=0; cdCat02=1; cdArea=<target municipality list>; cdTime=2020000000; metaGetFlg=N; appId from env,bounded: 4 target prefectures' municipalities only; NOT all-Japan,medium,"data_raw_official/census_00200521_2020_municipality/ (local-only, gitignored; never committed)",data_processed_official/population/ (local-only; commit only small derived summaries if approved),yes,(see QC row EXD_011),yes,scripts/11_official_data/census_00200521_municipality_population_extract.py,design_only_no_extraction,yes,low,create_bounded_extraction_script,"Use cat02=1 (foreign), NOT cat02=0 (all persons). Comparator/denominator base."
EXD_003,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) - 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,0,1,102,all four,"13,11,12,14",cdArea = confirmed municipality list per prefecture (NOT yet enumerated),municipality (shikuchoson; special wards + designated-city wards + cities/towns/villages),5-digit JIS area code,yes (5-digit JIS == N03 gyosei kuiki code),non_chinese_foreign,"non_chinese_foreign = total_foreign(cat02=1) - chinese_residents(cat02=102) per municipality, 2020",derived (no API call),none (computed from EXD_001 and EXD_002 at same municipality and year),bounded: 4 target prefectures' municipalities only; NOT all-Japan,low,"data_raw_official/census_00200521_2020_municipality/ (local-only, gitignored; never committed)",data_processed_official/population/ (local-only; commit only small derived summaries if approved),yes,(see QC row EXD_011),yes,scripts/11_official_data/census_00200521_municipality_population_extract.py,design_only_no_extraction,yes,low,design_quality_checks,Correct comparator; avoids Chinese-vs-all-foreigners double count. Assert >= 0 in QC.
EXD_004,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) - 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,0,1,102,Tokyo,13,enumerate municipality codes with prefecture prefix 13 from getMetaInfo area dim of 0003445244 (NOT yet fixed),municipality (shikuchoson; special wards + designated-city wards + cities/towns/villages),5-digit JIS area code,yes (5-digit JIS == N03 gyosei kuiki code),extraction_support,n/a (geography scope row),"getMetaInfo (area enumeration, metadata only)",getMetaInfo(statsDataId=0003445244) -> filter area codes starting '13'; appId from env,Tokyo municipalities only,low,"data_raw_official/census_00200521_2020_municipality/ (local-only, gitignored; never committed)",data_processed_official/population/ (local-only; commit only small derived summaries if approved),yes,(see QC row EXD_011),yes,scripts/11_official_data/census_00200521_municipality_population_extract.py,metadata_only,yes,low,confirm_area_code_list_first,Tokyo prefecture code 13. Do not invent the municipality list; derive from official area metadata next.
EXD_005,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) - 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,0,1,102,Saitama,11,enumerate municipality codes with prefecture prefix 11 from getMetaInfo area dim of 0003445244 (NOT yet fixed),municipality (shikuchoson; special wards + designated-city wards + cities/towns/villages),5-digit JIS area code,yes (5-digit JIS == N03 gyosei kuiki code),extraction_support,n/a (geography scope row),"getMetaInfo (area enumeration, metadata only)",getMetaInfo(statsDataId=0003445244) -> filter area codes starting '11'; appId from env,Saitama municipalities only,low,"data_raw_official/census_00200521_2020_municipality/ (local-only, gitignored; never committed)",data_processed_official/population/ (local-only; commit only small derived summaries if approved),yes,(see QC row EXD_011),yes,scripts/11_official_data/census_00200521_municipality_population_extract.py,metadata_only,yes,low,confirm_area_code_list_first,Saitama prefecture code 11. Do not invent the municipality list; derive from official area metadata next.
EXD_006,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) - 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,0,1,102,Chiba,12,enumerate municipality codes with prefecture prefix 12 from getMetaInfo area dim of 0003445244 (NOT yet fixed),municipality (shikuchoson; special wards + designated-city wards + cities/towns/villages),5-digit JIS area code,yes (5-digit JIS == N03 gyosei kuiki code),extraction_support,n/a (geography scope row),"getMetaInfo (area enumeration, metadata only)",getMetaInfo(statsDataId=0003445244) -> filter area codes starting '12'; appId from env,Chiba municipalities only,low,"data_raw_official/census_00200521_2020_municipality/ (local-only, gitignored; never committed)",data_processed_official/population/ (local-only; commit only small derived summaries if approved),yes,(see QC row EXD_011),yes,scripts/11_official_data/census_00200521_municipality_population_extract.py,metadata_only,yes,low,confirm_area_code_list_first,Chiba prefecture code 12. Do not invent the municipality list; derive from official area metadata next.
EXD_007,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) - 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,0,1,102,Kanagawa,14,enumerate municipality codes with prefecture prefix 14 from getMetaInfo area dim of 0003445244 (NOT yet fixed),municipality (shikuchoson; special wards + designated-city wards + cities/towns/villages),5-digit JIS area code,yes (5-digit JIS == N03 gyosei kuiki code),extraction_support,n/a (geography scope row),"getMetaInfo (area enumeration, metadata only)",getMetaInfo(statsDataId=0003445244) -> filter area codes starting '14'; appId from env,Kanagawa municipalities only,low,"data_raw_official/census_00200521_2020_municipality/ (local-only, gitignored; never committed)",data_processed_official/population/ (local-only; commit only small derived summaries if approved),yes,(see QC row EXD_011),yes,scripts/11_official_data/census_00200521_municipality_population_extract.py,metadata_only,yes,low,confirm_area_code_list_first,Kanagawa prefecture code 14. Do not invent the municipality list; derive from official area metadata next.
EXD_008,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) - 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,0,1,102,all four,"13,11,12,14",N03 join harmonization plan,municipality (shikuchoson; special wards + designated-city wards + cities/towns/villages),5-digit JIS municipality code (string; preserve leading zeros),yes (direct 5-digit match),extraction_support,n/a (join design),n/a (post-extraction join),n/a,join Census municipality table to NLNI N03 boundary,low,"data_raw_official/census_00200521_2020_municipality/ (local-only, gitignored; never committed)",data_processed_official/population/ (local-only; commit only small derived summaries if approved),yes,normalize special-ward codes (Tokyo 23 = 131xx); keep code as zero-padded string; reconcile 2020 Census vs N03 vintage merges; report unmatched on both sides,yes,scripts/11_official_data/census_00200521_municipality_population_extract.py,design_only_no_extraction,yes,low,confirm_area_code_list_first,Tokyo special wards individual codes (e.g. 13101); designated-city wards have own codes; decide ward-vs-city aggregation consistently with N03.
EXD_009,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) - 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,0,1,102,all four,"13,11,12,14",n/a (storage design),municipality (shikuchoson; special wards + designated-city wards + cities/towns/villages),5-digit JIS area code,yes (5-digit JIS == N03 gyosei kuiki code),extraction_support,n/a,n/a,n/a,local-only storage layout,low,"data_raw_official/census_00200521_2020_municipality/ (local-only, gitignored; never committed)",data_processed_official/population/ (local-only; commit only small derived summaries if approved),yes,confirm raw dir is gitignored; never commit raw API JSON; commit only small derived summaries if approved,yes,scripts/11_official_data/census_00200521_municipality_population_extract.py,design_only_no_extraction,yes,low,design_provenance_log,Folders: data_raw_official/census_00200521_2020_municipality/; data_processed_official/population/; metadata/official_download_log.csv; metadata/official_source_provenance.csv
EXD_010,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) - 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,0,1,102,all four,"13,11,12,14",n/a (script design),municipality (shikuchoson; special wards + designated-city wards + cities/towns/villages),5-digit JIS area code,yes (5-digit JIS == N03 gyosei kuiki code),extraction_support,n/a,getStatsData (bounded) + getMetaInfo,flags: --project-root --target-prefectures --stats-data-id --cd-time --cd-cat01 --cat02-total --cat02-china --dry-run --metadata-only --run-bounded-extraction --outdir --timeout-seconds,"bounded extraction, 4 prefectures; refuse all-Japan unless explicitly authorized",medium,"data_raw_official/census_00200521_2020_municipality/ (local-only, gitignored; never committed)",data_processed_official/population/ (local-only; commit only small derived summaries if approved),yes,appId from env only; never print/write/commit appId; raw outputs local-only if permitted; safety caps; refuse all-Japan by default,yes,scripts/11_official_data/census_00200521_municipality_population_extract.py,future_bounded_extraction,yes,low,create_bounded_extraction_script,Do NOT create the extraction script in this task; spec only.
EXD_011,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) - 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,0,1,102,all four,"13,11,12,14",n/a (QC design),municipality (shikuchoson; special wards + designated-city wards + cities/towns/villages),5-digit JIS area code,yes (5-digit JIS == N03 gyosei kuiki code),quality_control,n/a,n/a (post-extraction QC),n/a,QC over the bounded municipality table,low,"data_raw_official/census_00200521_2020_municipality/ (local-only, gitignored; never committed)",data_processed_official/population/ (local-only; commit only small derived summaries if approved),yes,every target municipality present; no duplicate municipality-year rows; municipality code string length and leading zeros preserved; chinese<=total_foreign; non_chinese_foreign>=0; missing values flagged; all 4 prefectures covered; same year and unit for both categories; join to N03 successful; unmatched Census municipalities reported; unmatched N03 municipalities reported; source provenance recorded for every extracted file,yes,scripts/11_official_data/census_00200521_municipality_population_extract.py,quality_check_design,yes,low,design_quality_checks,Run all checks before any modeling; non_chinese_foreign>=0 and chinese<=total are hard gates.
EXD_012,R02_OFF_TGT_001,Population Census of Japan (Kokusei Chosa) - 2020 Basic Complete Tabulation,00200521,000001136464,0003445244,2020,2020000000,0,1,102,all four,"13,11,12,14",n/a (provenance design),municipality (shikuchoson; special wards + designated-city wards + cities/towns/villages),5-digit JIS area code,yes (5-digit JIS == N03 gyosei kuiki code),provenance_support,n/a,n/a,n/a,provenance/log every extracted file,low,"data_raw_official/census_00200521_2020_municipality/ (local-only, gitignored; never committed)",data_processed_official/population/ (local-only; commit only small derived summaries if approved),yes,"record source_id, statsDataId, cdTime, cat02 codes, area-code source, api_method, local raw path, query date, license, script path, raw_output_committed=NO, appId_exposed=NO",yes,scripts/11_official_data/census_00200521_municipality_population_extract.py,design_only_no_extraction,yes,low,design_provenance_log,"Template: metadata/official_census_population_extraction_provenance_template.csv (header + one example row; no real path, no appId)."
