readiness_id,source_id,source_institution,source_title,concept_dimension,candidate_variable_name,data_needed,exact_table_or_layer_to_identify,expected_year_or_period,expected_geographic_unit,expected_spatial_granularity,expected_temporal_granularity,access_route_to_confirm,download_or_api_method_to_confirm,expected_file_format_or_api_response,license_or_terms_to_confirm,join_key_or_spatial_link_to_confirm,crs_or_coordinate_system_to_confirm,preprocessing_to_plan,metadata_to_record,storage_plan_after_approval,repo_safety_requirement,current_readiness_status,blocking_issue,priority_level,recommended_next_action,notes
DAR_001,R02_OFF_TGT_002,Immigration Services Agency of Japan (Shutsunyukoku Zairyu Kanricho),Statistics on foreign residents (Zairyu Gaikokujin Tokei),chinese_vs_non_chinese_baseline,Chinese resident count,Count of Chinese nationals by area,ISA Zairyu Gaikokujin Tokei table (nationality x area) via e-Stat,Year/period to confirm (biannual Jun/Dec),Municipality (and prefecture),Municipality (shikuchoson),Snapshot,e-Stat statistics page / dataset ID,e-Stat table download or WebAPI (application ID),Excel/CSV or WebAPI JSON/XML,CONFIRM: Government Standard Terms of Use applies to this table,JIS municipality code,Not applicable (tabular),Filter nationality=China; harmonize municipality codes across years,"table ID, vintage, URL, retrieval date, license, citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_exact_table_identification,Exact table/dataset ID and time series not yet identified,P1_before_api,Identify exact ISA/e-Stat table giving Chinese counts by municipality and confirm API endpoint,"Nationality-based, not Chinese-origin; e-Stat (001) is alternate route"
DAR_002,R02_OFF_TGT_002,Immigration Services Agency of Japan (Shutsunyukoku Zairyu Kanricho),Statistics on foreign residents (Zairyu Gaikokujin Tokei),population_baseline,Total foreign resident count,Count of all foreign residents by area,ISA total foreign-resident table via e-Stat,Year/period to confirm,Municipality (and prefecture),Municipality (shikuchoson),Snapshot,e-Stat statistics page / dataset ID,e-Stat table download or WebAPI,Excel/CSV or WebAPI JSON/XML,CONFIRM: Government Standard Terms of Use applies to this table,JIS municipality code,Not applicable (tabular),Take total row or sum nationalities; keep definition consistent with DAR_001,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_exact_table_identification,Total-foreign definition must match Chinese-count table,P1_before_api,Identify total foreign-resident table consistent with the Chinese-count table,Denominator for Chinese share
DAR_003,R02_OFF_TGT_002,Immigration Services Agency of Japan (Shutsunyukoku Zairyu Kanricho),Statistics on foreign residents (Zairyu Gaikokujin Tokei),chinese_vs_non_chinese_baseline,Non-Chinese foreign resident count,Derived: total foreign minus Chinese,Derived from DAR_001 and DAR_002 (no separate table),Same area-year as inputs,Municipality (and prefecture),Municipality (shikuchoson),Snapshot,Derived (no new access),Computation only,Derived field,Inherits DAR_001/DAR_002 terms (no separate license),JIS municipality code,Not applicable (tabular),Subtract Chinese from total for matching area-year; verify category consistency,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_exact_table_identification,Only valid if both inputs share identical categories/area-year,P1_before_download,Confirm category consistency before subtraction,Derived; depends on DAR_001 and DAR_002
DAR_004,R02_OFF_TGT_002,Immigration Services Agency of Japan (Shutsunyukoku Zairyu Kanricho),Statistics on foreign residents (Zairyu Gaikokujin Tokei),chinese_vs_non_chinese_baseline,Chinese share of foreign residents,Derived: Chinese / total foreign,Derived from DAR_001 / DAR_002,Same area-year as inputs,Municipality (and prefecture),Municipality (shikuchoson),Snapshot,Derived (no new access),Computation only,Derived field,Inherits DAR_001/DAR_002 terms (no separate license),JIS municipality code,Not applicable (tabular),Divide Chinese by total; guard zero denominators; flag low counts,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_exact_table_identification,Small-area instability where foreign population is tiny,P1_before_download,Confirm denominator definition; set low-count flag,Derived; depends on DAR_001 and DAR_002
DAR_005,R02_OFF_TGT_001,Statistics Bureau of Japan / e-Stat,e-Stat portal of official statistics (Seifu Tokei no Sogo Madoguchi),population_baseline,Foreign resident share of total population,Foreign residents / total population,e-Stat total-population table joined to foreign counts,Year/census to confirm,Municipality (and prefecture),Municipality (shikuchoson),Annual / census,e-Stat statistics page / dataset ID,e-Stat table download or WebAPI,Excel/CSV or WebAPI JSON/XML,CONFIRM: Government Standard Terms of Use applies to this table,JIS municipality code,Not applicable (tabular),Join foreign count to total population by area-year; align vintages,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_exact_table_identification,Population vintage may differ from foreign-resident vintage,P1_before_api,Identify matching total-population table and align reference dates,Combines e-Stat (001) and ISA (002)
DAR_006,R02_OFF_TGT_001,Statistics Bureau of Japan / e-Stat,e-Stat portal of official statistics (Seifu Tokei no Sogo Madoguchi),population_baseline,Total population denominator,Total population by area as denominator,e-Stat population table (census / Basic Resident Register),Year/census to confirm,Municipality (and prefecture),Municipality (shikuchoson),Annual / census,e-Stat statistics page / dataset ID,e-Stat table download or WebAPI,Excel/CSV or WebAPI JSON/XML,CONFIRM: Government Standard Terms of Use applies to this table,JIS municipality code,Not applicable (tabular),Select population table; align reference date with foreign counts,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_exact_table_identification,Choice of census vs register population affects denominator,P1_before_api,Identify exact total-population table and reference date,Denominator for DAR_005 and density
DAR_007,R02_OFF_TGT_004,"Tokyo Metropolitan Government, Statistics Division",Tokyo Statistics / Population of Tokyo (estimates),population_baseline,Tokyo foreign-resident cross-check (context),Tokyo ward/municipality foreign-resident figures,Tokyo statistics population table (foreign residents),Series to confirm,Tokyo wards and municipalities,Ward (ku) and municipality,Monthly / annual,Tokyo statistics website table,Manual table download,Excel/CSV,CONFIRM: TMG site/open-data terms for the specific table,Ward/municipality code,Not applicable (tabular),Identify Tokyo tables; reconcile with ISA/e-Stat as cross-check,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_exact_table_identification,Overlaps national tables; specific table not identified,P2_context,Identify exact Tokyo table; use as cross-check not primary,Tokyo-level supplement
DAR_008,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,spatial_reference,Administrative boundary layer,Municipality/ward boundary polygons,NLNI administrative boundary layer (gyosei kuiki),Layer version/year to confirm,National GIS incl. Tokyo region,Polygon (municipality/ward),Version snapshot,NLNI download site (per-layer),Manual layer download,Shapefile/GeoJSON/GML,CONFIRM: NLNI per-layer Terms of Use (Riyo Yakkan),JIS municipality code + geometry,CONFIRM: layer CRS (e.g. JGD2011),Standardize codes/CRS; align boundary vintage to statistics year,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_exact_layer_identification,Boundary vintage must match statistical-year codes,P1_before_spatial_analysis,Confirm exact NLNI boundary layer and version matching statistics years,Foundational join layer
DAR_009,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,transit_accessibility,Rail station layer,Station point geometry,NLNI railway station layer (tetsudo eki),Layer version/year to confirm,National GIS incl. Tokyo region,Point (station),Version snapshot,NLNI download site (per-layer),Manual layer download,Shapefile/GeoJSON/GML,CONFIRM: NLNI per-layer Terms of Use (Riyo Yakkan),Spatial link to boundaries,CONFIRM: layer CRS,Extract station points; align CRS with boundaries,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_exact_layer_identification,Station layer vintage and completeness to verify,P1_before_spatial_analysis,Confirm exact NLNI railway/station layer and version,Input for distance/density
DAR_010,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,transit_accessibility,Rail line layer,Rail line geometry,NLNI railway line layer (tetsudo),Layer version/year to confirm,National GIS incl. Tokyo region,Line,Version snapshot,NLNI download site (per-layer),Manual layer download,Shapefile/GeoJSON/GML,CONFIRM: NLNI per-layer Terms of Use (Riyo Yakkan),Spatial link to stations,CONFIRM: layer CRS,Retain rail line layer as context/input; align CRS,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_exact_layer_identification,Line vs station layer separation to confirm,P1_before_spatial_analysis,Confirm exact NLNI railway line layer and version,Supporting transit layer
