discovery_id,source_id,source_name,institution,statistics_code,survey_name,candidate_table_family,candidate_statsDataId,candidate_table_title,official_metadata_url,official_api_metadata_url,confirmation_status,geographic_unit_confirmed,target_prefectures_covered,municipality_level_available,area_code_logic,target_area_codes_or_area_code_source,time_period_confirmed,candidate_time_codes,latest_year_or_vintage,nationality_category_available,china_category_code,total_foreign_category_available,total_foreign_category_code,other_relevant_category_codes,sex_age_or_status_dimensions_present,required_filter_parameters,candidate_api_endpoint,candidate_api_parameters,full_extraction_needed_later,small_metadata_test_only,population_variable_supported,non_chinese_foreign_construct_possible,blocking_issue,risk_level,recommended_next_action,notes
EAD_001,R02_OFF_TGT_002,Statistics on Foreign Residents (Zairyu Gaikokujin Tokei),Immigration Services Agency / Ministry of Justice (via e-Stat),00250012,Zairyu Gaikokujin Tokei (kyu Toroku Gaikokujin Tokei) / Statistics on Foreign Residents,nationality/region x residence-status x prefecture (kokuseki/chiiki x zairyu-shikaku x todofuken); local obs ISA family 24-12-t2,pending (not exposed on search pages; needs getStatsList or manual DB drill),Zairyu gaikokujin: kokuseki/chiiki-betsu todofuken-betsu (nationality by prefecture),https://www.e-stat.go.jp/stat-search/database?toukei=00250012,https://api.e-stat.go.jp/rest/3.0/app/json/getStatsList,metadata_confirmed_parameter_pending,prefecture (todofuken) for nationality breakdown,"Tokyo(13), Saitama(11), Chiba(12), Kanagawa(14)","no_for_nationality (prefecture-only; municipality breakdown is total-foreign, not by nationality)",JIS X 0401 prefecture codes for nationality tables,prefecture codes 11/12/13/14; e-Stat cdArea metadata (getMetaInfo) to confirm,biannual (end of June and end of December),pending (cdTime from getMetaInfo); latest = Reiwa 7 June (2025-06),2025-06 (in-survey); DB last updated 2025-12-12,yes (kokuseki/chiiki classification incl. China),01_023 (local observation; verify against live cdCat metadata),yes (sosu / total),sosu (total); exact cdCat code pending,residence status (zairyu shikaku); age; sex (2019+ flexible tables),"yes (nationality, residence status, age, sex, prefecture from 2019)",statsDataId; cdCat (nationality=China and total); cdArea (prefecture); cdTime (period),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsList,"getStatsList(appId=$ESTAT_APP_ID, statsCode=00250012, statsField/searchWord) -> getMetaInfo -> getStatsData",yes_later,yes,both_chinese_and_total_foreign,yes,nationality is available at prefecture level only; municipality x nationality not evident in ISA,medium,manual_browser_check,tstat (provider statistic id) = 000001018034 confirmed via e-Stat DB search. Construction feasible at prefecture level for the 4 prefectures.
EAD_002,R02_OFF_TGT_002,Chinese residents variable (nationality=China),Immigration Services Agency / Ministry of Justice,00250012,Zairyu Gaikokujin Tokei,kokuseki/chiiki-betsu todofuken-betsu (nationality x prefecture),pending,China (Chugoku) count by prefecture,https://www.e-stat.go.jp/stat-search/database?toukei=00250012,https://api.e-stat.go.jp/rest/3.0/app/json/getMetaInfo,metadata_confirmed_parameter_pending,prefecture confirmed; municipality not confirmed,"Tokyo(13), Saitama(11), Chiba(12), Kanagawa(14)",no_for_nationality,JIS X 0401 prefecture codes,11/12/13/14,biannual Jun/Dec,pending; align with chosen reference period,2025-06,yes,01_023 (local obs; confirm via cdCat in getMetaInfo),yes,"sosu (for comparator, not this row)",status of residence optional,yes (optional),cdCat=China(01_023); cdArea=prefecture; cdTime,https://api.e-stat.go.jp/rest/3.0/app/json/getMetaInfo,"getMetaInfo(appId=$ESTAT_APP_ID, statsDataId=<pending>) to confirm China category code",yes_later,yes,chinese_residents,partial_pending_field_check,statsDataId pending; China code 01_023 needs live cdCat verification; municipality unavailable,medium,inspect_fields_before_download,"Nationality-based (registration), not ethnicity/origin."
EAD_003,R02_OFF_TGT_002,Total foreign residents variable (total/sosu),Immigration Services Agency / Ministry of Justice,00250012,Zairyu Gaikokujin Tokei,kokuseki/chiiki-betsu todofuken-betsu (total row) or todofuken-betsu sosu,pending,Total foreign residents by prefecture,https://www.e-stat.go.jp/stat-search/database?toukei=00250012,https://api.e-stat.go.jp/rest/3.0/app/json/getMetaInfo,metadata_confirmed_parameter_pending,prefecture confirmed; municipality total exists but separate table,"Tokyo(13), Saitama(11), Chiba(12), Kanagawa(14)",yes_for_total_only (municipality total-foreign exists; not split by nationality),JIS X 0401 prefecture codes; JIS X 0402 municipality codes for total tables,11/12/13/14 (prefecture); municipality codes if total-by-municipality used,biannual Jun/Dec,pending; same period as Chinese row,2025-06,yes (total = sosu category),n/a (total row),yes,sosu (total); confirm exact cdCat,status of residence optional,yes (optional),cdCat=total(sosu); cdArea=prefecture; cdTime,https://api.e-stat.go.jp/rest/3.0/app/json/getMetaInfo,getMetaInfo to confirm total(sosu) category code on the same statsDataId as Chinese,yes_later,yes,total_foreign_residents,partial_pending_field_check,must come from same table/vintage/geography as Chinese to allow subtraction,low,inspect_fields_before_download,Comparator/denominator base. Municipality total exists but is not nationality-split.
EAD_004,R02_OFF_TGT_002,Non-Chinese foreign residents construction,Immigration Services Agency / Ministry of Justice,00250012,Zairyu Gaikokujin Tokei,derived from EAD_002 and EAD_003 (same table),pending (same as EAD_002/003),derived: total minus China,https://www.e-stat.go.jp/stat-search/database?toukei=00250012,https://api.e-stat.go.jp/rest/3.0/app/json/getMetaInfo,metadata_confirmed_parameter_pending,prefecture (feasible); municipality (pending),"Tokyo(13), Saitama(11), Chiba(12), Kanagawa(14)",no_for_nationality,same area unit as inputs,11/12/13/14,same period as inputs,same cdTime as inputs,2025-06,yes,01_023,yes,sosu,n/a,n/a (derived),non_chinese_foreign = total(sosu) - China(01_023) at same cdArea and cdTime,https://api.e-stat.go.jp/rest/3.0/app/json/getMetaInfo,no extra query; derived after total and China are retrieved from the same statsDataId,yes_later,yes,both_chinese_and_total_foreign,partial_pending_field_check,feasible at prefecture; municipality-level pending source confirmation; both terms must share table/vintage/geography,medium,inspect_fields_before_download,Correct comparator; avoids Chinese-vs-all-foreigners double count. Prefecture-level = 4 units only (coarse for spatial analysis).
EAD_005,R02_OFF_TGT_001,Area code logic (e-Stat cdArea / JIS codes),Statistics Bureau of Japan / MIC (e-Stat),00250012,Zairyu Gaikokujin Tokei,area dimension of the nationality tables,pending,area-code logic for query and join,https://www.e-stat.go.jp/stat-search/database?toukei=00250012,https://api.e-stat.go.jp/rest/3.0/app/json/getMetaInfo,metadata_confirmed_parameter_pending,prefecture confirmed for nationality,"Tokyo(13), Saitama(11), Chiba(12), Kanagawa(14)",conditional (only if a municipality x nationality table is found),JIS X 0401 prefecture (2-digit); JIS X 0402 municipality (5-digit = prefecture2 + municipality3),prefecture 11/12/13/14; e-Stat cdArea list via getMetaInfo; special wards/designated cities use standard JIS codes,n/a (area row),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,cdArea (prefecture or municipality),https://api.e-stat.go.jp/rest/3.0/app/json/getMetaInfo,getMetaInfo to read cdArea codes; map to NLNI N03 administrative area code (gyosei kuiki code),yes_later,yes,parameter_unclear,partial_pending_field_check,e-Stat cdArea vs NLNI N03 code join must be confirmed; municipality join only matters if municipality x nationality exists,low,inspect_area_codes_next,JIS X 0402 municipality codes are directly joinable to N03 gyosei kuiki codes (5-digit) when both at municipality level.
EAD_006,R02_OFF_TGT_001,Time / vintage logic (e-Stat cdTime),Statistics Bureau of Japan / MIC (e-Stat),00250012,Zairyu Gaikokujin Tokei,time dimension of the nationality tables,pending,time-code logic for query and layer alignment,https://www.e-stat.go.jp/stat-search/database?toukei=00250012,https://api.e-stat.go.jp/rest/3.0/app/json/getMetaInfo,metadata_confirmed_parameter_pending,n/a (time row),"Tokyo(13), Saitama(11), Chiba(12), Kanagawa(14)",n/a,n/a,n/a,biannual: end of June and end of December; multiple years exist,pending (cdTime from getMetaInfo); survey-date based (year + Jun/Dec),2025-06 latest; choose one year for Chinese and total together,n/a,n/a,n/a,n/a,n/a,n/a,cdTime (single chosen period for both variables),https://api.e-stat.go.jp/rest/3.0/app/json/getMetaInfo,getMetaInfo to enumerate cdTime; pick a year aligning with NLNI N03 (2023) / N02 (FY2024) / A31 (FY2022),yes_later,yes,parameter_unclear,partial_pending_field_check,exact cdTime codes pending; choose a vintage that reasonably aligns with the spatial layer years,low,inspect_time_codes_next,Same vintage and geography required for Chinese and total to allow subtraction.
EAD_007,R02_OFF_TGT_001,e-Stat WebAPI parameter plan,Statistics Bureau of Japan / MIC (e-Stat WebAPI),00250012,Zairyu Gaikokujin Tokei,API metadata route for the nationality tables,pending (resolve via getStatsList),API parameter design (metadata-first),https://www.e-stat.go.jp/stat-search/files?toukei=00250012,https://api.e-stat.go.jp/rest/3.0/app/json/getStatsList,official_page_confirmed_API_pending,per resolved statsDataId,"Tokyo(13), Saitama(11), Chiba(12), Kanagawa(14)",depends on statsDataId,cdArea,cdArea list from getMetaInfo,cdTime from getMetaInfo,pending,2025-06,cdCat (nationality),confirm China cdCat (expected 01_023),cdCat (total/sosu),confirm total cdCat,cdCat02/cdCat03 for status/age/sex if used,available via additional cdCat,appId; statsDataId; cdArea; cdCat01..03; cdTime; metaGetFlg; cntGetFlg,getStatsList -> getMetaInfo -> getStatsData (rest/3.0/app/json),"appId=$ESTAT_APP_ID (env only, never committed); JSON endpoints; metadata-first; cntGetFlg=Y for a tiny count test before any extraction",yes_later,yes,parameter_unclear,partial_pending_field_check,ESTAT_APP_ID not set in this environment; keyed metadata calls cannot run yet,medium,prepare_small_metadata_test,"appId via environment variable ESTAT_APP_ID only; never print, write, or commit it. Until provisioned, use official HTML DB pages for discovery."
EAD_008,R02_OFF_TGT_002,Municipality x nationality availability (key blocker),Immigration Services Agency / Ministry of Justice,00250012,Zairyu Gaikokujin Tokei,search for any shikuchoson-betsu kokuseki-betsu table,none found at municipality x nationality (pending manual confirmation),(sought) foreign residents by municipality and nationality,https://www.moj.go.jp/isa/policies/statistics/toukei_ichiran_touroku.html,https://api.e-stat.go.jp/rest/3.0/app/json/getStatsList,not_confirmed_hold,ISA nationality data confirmed only at prefecture level,"Tokyo(13), Saitama(11), Chiba(12), Kanagawa(14)",no_confirmed_for_nationality,would need JIS X 0402 municipality codes if a table existed,municipality codes (only if a source is found),n/a,n/a,n/a,prefecture-level only in ISA,01_023 (prefecture-level),"yes (municipality total only, not nationality-split)",sosu,n/a,prefecture-capped,n/a (availability question),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsList,n/a until a municipality x nationality table is confirmed,no,yes,not_supported,unclear_hold,municipality-level Chinese counts not available in ISA 00250012; likely requires Population Census 2020 (toukei 00200521) kokuseki-betsu by municipality/small-area as the municipality source,high,manual_browser_check,"DECISION POINT: prefecture-level (4 units) is coarse for spatial analysis. Batch 2 should confirm whether to source municipality x nationality from the Population Census, keeping ISA for prefecture cross-check."
EAD_009,R02_OFF_TGT_001,statsDataId discovery route (e-Stat DB tstat),Statistics Bureau of Japan / MIC (e-Stat),00250012,Zairyu Gaikokujin Tokei,provider statistic tstat 000001018034 (20 database tables),pending (DB pages are JS-driven; not exposed without getStatsList or manual drill),database tables under tstat 000001018034,https://www.e-stat.go.jp/stat-search/database?toukei=00250012,https://api.e-stat.go.jp/rest/3.0/app/json/getStatsList,table_family_confirmed_statsDataId_pending,prefecture (per DB classification),"Tokyo(13), Saitama(11), Chiba(12), Kanagawa(14)",no_for_nationality,cdArea (prefecture),prefecture,"biannual + annual (20 datasets: 11 half-yearly, 9 annual)",pending,DB updated 2025-12-12,yes,01_023,yes,sosu,"residence status, age, sex",yes (flexible tables),statsDataId (to resolve),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsList,"getStatsList(appId=$ESTAT_APP_ID, statsCode=00250012) returns statsDataId list; or open each DB table in a browser to read its 10-digit id",yes_later,yes,both_chinese_and_total_foreign,partial_pending_field_check,exact statsDataId not surfaced; needs appId (getStatsList) or manual DB drill,medium,manual_browser_check,tstat 000001018034 confirmed; 20 database tables (11 half-yearly + 9 annual).
EAD_010,R02_OFF_TGT_002,Data integrity constraints (future checks),Immigration Services Agency / Ministry of Justice,00250012,Zairyu Gaikokujin Tokei,constraints governing the derived population variables,n/a (constraints),integrity-constraint plan,https://www.e-stat.go.jp/stat-search/database?toukei=00250012,https://api.e-stat.go.jp/rest/3.0/app/json/getMetaInfo,metadata_confirmed_parameter_pending,"same unit for all variables (prefecture, or municipality if sourced)","Tokyo(13), Saitama(11), Chiba(12), Kanagawa(14)",conditional,single consistent area key,same cdArea across variables,single consistent vintage,single cdTime,chosen vintage,yes,01_023,yes,sosu,n/a,n/a,Chinese<=total; non_chinese_foreign>=0; all target areas present; no duplicate area-year rows; no missing area codes; same vintage+geography; join key consistent with N03,https://api.e-stat.go.jp/rest/3.0/app/json/getMetaInfo,validation logic only (no extra query),no,yes,both_chinese_and_total_foreign,partial_pending_field_check,constraints can only run after statsDataId/categories/areas fixed,low,inspect_fields_before_download,Pre-modeling integrity checks for the population module.
