inventory_id,file_name,local_path,inferred_survey_time,file_size_bytes,source_format,sheet_names,selected_sheet,header_row,row_count,column_count,municipality_code_available,municipality_code_field,municipality_code_5digit_possible,prefecture_municipality_field_available,china_field_or_category_available,total_foreign_field_available,value_field_available,value_numeric,residence_status_dimension_available,total_status_available,china_filtered,target_prefectures_present,usable_for_chinese_stock,usable_for_total_foreign_stock,usable_for_panel_normalization,risk_level,recommended_next_action,notes
INV_001,12-12-07.xlsx,data_raw/isa_estat/12-12-07.xlsx,2012-12,200656,wide_municipality_nationality_table,12-12-07,12-12-07,4,2302,13,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_002,13-06-07 .xlsx,data_raw/isa_estat/13-06-07 .xlsx,2013-06,200973,wide_municipality_nationality_table,13-06-07,13-06-07,4,2302,13,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_003,13-12-07.xlsx,data_raw/isa_estat/13-12-07.xlsx,2013-12,199862,wide_municipality_nationality_table,13-12-07,13-12-07,4,2302,13,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_004,14-06-07.xlsx,data_raw/isa_estat/14-06-07.xlsx,2014-06,201741,wide_municipality_nationality_table,14-06-07,14-06-07,4,2301,13,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_005,14-12-07 .xlsx,data_raw/isa_estat/14-12-07 .xlsx,2014-12,201806,wide_municipality_nationality_table,14-12-07 ,14-12-07 ,4,2301,13,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_006,15-06-07 .xlsx,data_raw/isa_estat/15-06-07 .xlsx,2015-06,203664,wide_municipality_nationality_table,15-06-07 ,15-06-07 ,4,2301,13,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_007,15-12-07 .xlsx,data_raw/isa_estat/15-12-07 .xlsx,2015-12,201296,wide_municipality_nationality_table,15-12-07 ,15-12-07 ,4,2301,13,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_008,16-06-07.xlsx,data_raw/isa_estat/16-06-07.xlsx,2016-06,203751,wide_municipality_nationality_table,16-06-07,16-06-07,4,2301,13,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_009,16-12-07.xlsx,data_raw/isa_estat/16-12-07.xlsx,2016-12,206228,wide_municipality_nationality_table,16-12-07,16-12-07,4,2301,13,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_010,17-06-07.xlsx,data_raw/isa_estat/17-06-07.xlsx,2017-06,203455,wide_municipality_nationality_table,17-06-07,17-06-07,4,2294,13,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_011,17-12-07.xlsx,data_raw/isa_estat/17-12-07.xlsx,2017-12,203330,wide_municipality_nationality_table,17-12-07,17-12-07,4,2294,13,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_012,18-06-07.xlsx,data_raw/isa_estat/18-06-07.xlsx,2018-06,203480,wide_municipality_nationality_table,18-06-07,18-06-07,4,2294,13,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_013,18-12-07.xlsx,data_raw/isa_estat/18-12-07.xlsx,2018-12,203269,wide_municipality_nationality_table,18-12-07,18-12-07,4,2293,13,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_014,19-06-07.xlsx,data_raw/isa_estat/19-06-07.xlsx,2019-06,232307,wide_municipality_nationality_table,19-06-07,19-06-07,4,2293,15,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_015,19-12-07-1.xlsx,data_raw/isa_estat/19-12-07-1.xlsx,2019-12,189940,wide_municipality_nationality_table,19-12-07-1,19-12-07-1,4,2293,14,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_016,20-06-07-1.xlsx,data_raw/isa_estat/20-06-07-1.xlsx,2020-06,188362,wide_municipality_nationality_table,20-06-07-1,20-06-07-1,4,1966,16,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_017,20-12-07-1m.xlsx,data_raw/isa_estat/20-12-07-1m.xlsx,2020-12,600804,wide_municipality_nationality_table,20-12-07-1m,20-12-07-1m,6,23537,5,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_018,21-06-07-1m.xlsx,data_raw/isa_estat/21-06-07-1m.xlsx,2021-06,602230,wide_municipality_nationality_table,21-06-07-1m,21-06-07-1m,7,23548,5,NO,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_wide_parser,wide name-based table; China column present; NO code column -> requires name->JIS crosswalk
INV_019,21-12-03-1.xlsx,data_raw/isa_estat/21-12-03-1.xlsx,2021-12,187790,wide_municipality_nationality_table,21-12-03-1,21-12-03-1,2,1965,18,YES,市区町村コード,YES,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,YES,YES,YES,low,normalize_with_wide_parser,wide table with 市区町村コード + China; includes 10 aggregate rows (filter); matched 250/251
INV_020,22-06-03-1 .xlsx,data_raw/isa_estat/22-06-03-1 .xlsx,2022-06,189866,wide_municipality_nationality_table,22-06-03-1,22-06-03-1,2,1966,18,YES,市区町村コード,YES,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,YES,YES,YES,low,normalize_with_wide_parser,wide table with 市区町村コード + China; includes 10 aggregate rows (filter); matched 250/251
INV_021,22-12-03.xlsx,data_raw/isa_estat/22-12-03.xlsx,2022-12,197670,wide_municipality_nationality_table,22-12-03,22-12-03,2,1966,18,YES,市区町村コード,YES,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,YES,YES,YES,low,normalize_with_wide_parser,wide table with 市区町村コード + China; includes 10 aggregate rows (filter); matched 250/251
