audit_id,survey_time,file_name,source_format,expected_target_codes,observed_target_codes,matched_codes,missing_target_codes,extra_codes_not_in_census_frame,duplicate_codes,aggregate_rows_detected,tokyo_observed,saitama_observed,chiba_observed,kanagawa_observed,zero_fill_likely_needed,panel_usable_status,blocking_issue,recommended_next_action,notes
AUD_001,2021-12,21-12-03-1.xlsx,wide_municipality_nationality_table,251,250,250,1,0,0,10,61,72,59,58,YES,usable,10 aggregate rows must be filtered; 1 missing target code(s) to verify,proceed_to_normalization_script_scaffold,matched 250/251; T61/S72/C59/K58
AUD_002,2022-06,22-06-03-1 .xlsx,wide_municipality_nationality_table,251,250,250,1,0,0,10,61,72,59,58,YES,usable,10 aggregate rows must be filtered; 1 missing target code(s) to verify,proceed_to_normalization_script_scaffold,matched 250/251; T61/S72/C59/K58
AUD_003,2022-12,22-12-03.xlsx,wide_municipality_nationality_table,251,250,250,1,0,0,10,61,72,59,58,YES,usable,10 aggregate rows must be filtered; 1 missing target code(s) to verify,proceed_to_normalization_script_scaffold,matched 250/251; T61/S72/C59/K58
AUD_004,2023-06,23-06-03.xlsx,wide_municipality_nationality_table,251,250,250,1,0,0,10,61,72,59,58,YES,usable,10 aggregate rows must be filtered; 1 missing target code(s) to verify,proceed_to_normalization_script_scaffold,matched 250/251; T61/S72/C59/K58
AUD_005,2023-12,23-12-t2_china_values.xlsx,china_values_extracted_table,251,245,245,6,0,0,0,56,72,59,58,YES,usable,missing target codes = zero Chinese (zero-fill),proceed_to_normalization_script_scaffold,matched 245/251; T56/S72/C59/K58
AUD_006,2024-06,24-06-t2_china_values.xlsx,china_values_extracted_table,251,246,246,5,0,0,0,57,72,59,58,YES,usable,missing target codes = zero Chinese (zero-fill),proceed_to_normalization_script_scaffold,matched 246/251; T57/S72/C59/K58
AUD_007,2024-12,24-12-t2_all_values.xlsx,all_values_extracted_table,251,250,250,1,0,0,0,61,72,59,58,YES,partially_usable,total foreign (not China),inspect_file_manually,matched 250/251; T61/S72/C59/K58
AUD_008,2024-12,24-12-t2_china_values.xlsx,china_values_extracted_table,251,245,245,6,0,0,0,57,71,59,58,YES,usable,missing target codes = zero Chinese (zero-fill),proceed_to_normalization_script_scaffold,matched 245/251; T57/S71/C59/K58
AUD_009,2025-06,25-06-t2_china_values.xlsx,china_values_extracted_table,251,247,247,4,0,0,0,58,72,59,58,YES,usable,missing target codes = zero Chinese (zero-fill),proceed_to_normalization_script_scaffold,matched 247/251; T58/S72/C59/K58
AUD_010,2012-12 to 2021-06,(18 wide name-only files),wide_municipality_nationality_table,251,name-based (no code),pending name->code crosswalk,unknown until mapped,unknown,unknown,present (prefecture/city aggregates by name),-,-,-,-,UNCLEAR,partially_usable,no municipality code column; geography by prefecture/city/ward name (merged cells) -> needs hierarchical name->JIS crosswalk,inspect_file_manually,China column present; 18 semi-annual periods 2012-12..2021-06; usable only after name->code mapping
