inventory_id,source_id,source_name,institution,source_domain,official_status,verified_status,current_access_status,stable_landing_page_or_catalogue_url,license_or_terms_status,data_download_required_later,api_available_or_possible,expected_data_type,expected_file_or_access_format,expected_spatial_granularity,expected_temporal_granularity,expected_geographic_coverage,expected_key_fields_or_layers,project_dimension_supported,candidate_variable_or_use,chinese_specific_relevance,non_chinese_foreign_comparison_relevance,housing_relevance,accessibility_relevance,service_relevance,disaster_risk_relevance,basemap_or_reference_relevance,policy_context_relevance,analysis_readiness,remaining_manual_checks,risk_level,recommended_next_action,notes
ODU_001,R02_OFF_TGT_001,e-Stat portal of official statistics of Japan,Statistics Bureau of Japan / MIC (e-Stat),population_statistics,official,verified_by_official_catalogue,reachable_http_200,https://www.e-stat.go.jp/,"Government Standard Terms of Use (Seifu Hyojun Riyo Kiyaku), CC BY 4.0 compatible, attribution required, commercial OK; confirm per-table applicability",yes,yes_estat_webapi_application_id_required,statistical_tables,xlsx_csv_via_estat_or_api,municipality_census_small_area_possible,annual_and_census_5yr,national_incl_tokyo,foreign_resident_count_by_nationality_x_municipality; ISA table family 24-12-t2 nationality 01_023=China observed locally,population_baseline;chinese_vs_non_chinese_foreign_baseline,Chinese and total foreign resident counts by municipality; population denominators and shares,yes,yes,indirect,no,no,no,no,indirect,ready_for_table_level_inspection,"confirm exact table id, reference period, municipality code field, and terms-of-use applicability before download",low,inspect_exact_table,Primary statistics portal; hosts ISA Zairyu Gaikokujin Tokei and census; nationality not ethnicity.
ODU_002,R02_OFF_TGT_002,Statistics on foreign residents (Zairyu Gaikokujin Tokei),Immigration Services Agency of Japan (ISA),population_statistics,official,verified_by_official_catalogue,reachable_http_200,https://www.moj.go.jp/isa/policies/statistics/toukei_ichiran_touroku.html,distributed via e-Stat under Government Standard Terms of Use (Seifu Hyojun Riyo Kiyaku); confirm per-table applicability,yes,possible_via_estat_webapi,statistical_tables,xlsx_csv_via_estat_or_isa_page,prefecture_and_municipality,biannual_jun_and_dec,national_by_nationality_and_area,foreign_resident_count_by_nationality_x_residence_status_x_area,population_baseline;chinese_vs_non_chinese_foreign_baseline,Chinese resident baseline and non-Chinese foreign comparison baseline by area,yes,yes,no,no,no,no,no,indirect,ready_for_table_level_inspection,"confirm latest reference table, municipality availability vs prefecture-only, and join key to boundaries",low,inspect_exact_table,"Counts by nationality (registration), not ethnicity/origin; distributed via e-Stat."
ODU_003,R02_OFF_TGT_003,Population based on the Basic Resident Register (incl. foreign residents),Ministry of Internal Affairs and Communications (MIC),population_statistics,official,verified_by_official_catalogue,reachable_http_200,https://www.soumu.go.jp/main_sosiki/jichi_gyousei/daityo/jinkou_jinkoudoutai-setaisuu.html,distributed via e-Stat under Government Standard Terms of Use (Seifu Hyojun Riyo Kiyaku); confirm applicability,yes,possible_via_estat,statistical_tables,xlsx_csv_or_pdf,municipality,annual,national_by_municipality,resident_population_incl_foreign_by_municipality_and_households,population_baseline,Municipality-level resident population denominators including foreign residents,indirect,indirect,indirect,no,no,no,no,indirect,ready_for_table_level_inspection,confirm whether nationality breakdown to Chinese is available or only aggregate foreign total,low,inspect_exact_table,Useful as municipality denominator; may not split Chinese specifically.
ODU_004,R02_OFF_TGT_004,Tokyo Statistics / Population of Tokyo (estimates),"Tokyo Metropolitan Government, Statistics Division",population_statistics,official,verified_by_official_catalogue,reachable_http_200,https://www.toukei.metro.tokyo.lg.jp/,terms_to_confirm_manually,yes,unknown_manual_check,statistical_tables,xlsx_csv_or_pdf,ward_and_municipality,monthly_estimates_and_annual,tokyo_metropolis,tokyo_population_incl_foreign_by_ward_and_municipality,population_baseline;chinese_vs_non_chinese_foreign_baseline,Tokyo ward/municipality population and foreign-resident figures cross-check,indirect,indirect,no,no,no,no,no,indirect,ready_for_table_level_inspection,confirm foreign-resident and nationality detail; reconcile with e-Stat/ISA municipality figures,low,inspect_exact_table,Tokyo-specific cross-check for the population baseline.
ODU_005,R02_OFF_TGT_005,NLNI candidate layer family: administrative boundaries,MLIT National Land Numerical Information (NLNI),spatial_open_data,official,verified_by_official_catalogue,reachable_http_200,https://nlftp.mlit.go.jp/ksj/,"NLNI Terms of Use (Kokudo Suchi Joho Riyo Yakkan), attribution, most layers free; confirm per-layer terms before download",yes,possible_api_or_bulk_download,vector_gis_polygon,shapefile_geojson_or_gml,municipality_and_sub_municipal,periodic_snapshots_by_layer,national_incl_tokyo_region,candidate layer family: administrative boundary polygons with municipality codes (exact layer to confirm),spatial_reference,Spatial units / municipality boundaries for joins and mapping,no,no,no,indirect,no,indirect,yes,no,ready_for_layer_level_inspection,"open exact NLNI administrative boundary layer; confirm year, code field, and license terms",low,inspect_exact_layer,Candidate layer family only; exact NLNI layer not yet opened.
ODU_006,R02_OFF_TGT_005,NLNI candidate layer family: railways and stations,MLIT National Land Numerical Information (NLNI),spatial_open_data,official,verified_by_official_catalogue,reachable_http_200,https://nlftp.mlit.go.jp/ksj/,"NLNI Terms of Use (Kokudo Suchi Joho Riyo Yakkan), attribution, most layers free; confirm per-layer terms before download",yes,possible_api_or_bulk_download,vector_gis_line_and_point,shapefile_geojson_or_gml,point_and_line_geometry,periodic_snapshots_by_layer,national_incl_tokyo_region,candidate layer family: railway lines and station points (exact layer to confirm),transit_accessibility,Station/rail accessibility measures (distance/access to stations),no,no,no,yes,no,no,indirect,no,ready_for_layer_level_inspection,"open exact NLNI railway/station layer; confirm currency, completeness, and license",low,inspect_exact_layer,Candidate layer family only; exact NLNI layer not yet opened.
ODU_007,R02_OFF_TGT_005,NLNI candidate layer family: land use,MLIT National Land Numerical Information (NLNI),spatial_open_data,official,verified_by_official_catalogue,reachable_http_200,https://nlftp.mlit.go.jp/ksj/,"NLNI Terms of Use (Kokudo Suchi Joho Riyo Yakkan), attribution, most layers free; confirm per-layer terms before download",yes,possible_api_or_bulk_download,vector_gis_polygon_or_mesh,shapefile_geojson_or_gml,mesh_or_polygon,periodic_snapshots_by_layer,national_incl_tokyo_region,candidate layer family: land use classes (exact layer to confirm),spatial_reference,Land-use context for housing/built-environment interpretation,no,no,indirect,indirect,no,indirect,yes,no,ready_for_layer_level_inspection,"open exact NLNI land-use layer; confirm classification scheme, year, and license",medium,inspect_exact_layer,Candidate layer family only; currency/classification to verify.
ODU_008,R02_OFF_TGT_005,NLNI candidate layer family: public facilities,MLIT National Land Numerical Information (NLNI),spatial_open_data,official,verified_by_official_catalogue,reachable_http_200,https://nlftp.mlit.go.jp/ksj/,"NLNI Terms of Use (Kokudo Suchi Joho Riyo Yakkan), attribution, most layers free; confirm per-layer terms before download",yes,possible_api_or_bulk_download,vector_gis_point,shapefile_geojson_or_gml,point_geometry,periodic_snapshots_by_layer,national_incl_tokyo_region,candidate layer family: public facility points (exact layer to confirm),service_infrastructure_context,"Service/facility accessibility context (schools, public facilities)",no,no,no,yes,yes,indirect,indirect,no,ready_for_layer_level_inspection,"open exact NLNI facilities layer; confirm completeness, categories, year, and license",medium,inspect_exact_layer,Candidate layer family only; facility coverage/currency to verify.
ODU_009,R02_OFF_TGT_005,NLNI candidate layer family: disaster/hazard-related layers,MLIT National Land Numerical Information (NLNI),spatial_open_data,official,verified_by_official_catalogue,reachable_http_200,https://nlftp.mlit.go.jp/ksj/,"NLNI Terms of Use (Kokudo Suchi Joho Riyo Yakkan), attribution, most layers free; confirm per-layer terms before download",yes,possible_api_or_bulk_download,vector_gis_polygon_or_mesh,shapefile_geojson_or_gml,polygon_or_mesh,periodic_snapshots_by_layer,national_incl_tokyo_region,candidate layer family: hazard/disaster-related zones e.g. flood/sediment (exact layer to confirm),disaster_risk_exposure,Disaster/hazard exposure overlay for the risk module,no,no,no,no,no,yes,indirect,no,ready_for_layer_level_inspection,"open exact NLNI hazard-related layer; confirm hazard type, vintage, methodology, and license",medium,inspect_exact_layer,Candidate layer family only; cross-check against Hazard Map Portal for consistency.
ODU_010,R02_OFF_TGT_006,GSI Maps / base maps and geospatial reference,Geospatial Information Authority of Japan (GSI),spatial_open_data,official,verified_by_official_page,reachable_http_200,https://www.gsi.go.jp/,GSI Terms of Use (Kokudo Chiriin Riyo Kiyaku); tiles attribution; Fundamental Geospatial Data (Kiban Chizu Joho) free with registration; confirm per-product before derived use,yes,yes_tile_api_and_fundamental_data_download,basemap_tiles_and_reference_vector,tiles_pdf_and_basemap_data,variable_basemap_scale,continuously_updated_basemap,national_incl_tokyo_region,"base map tiles, basic geospatial information (Kiban Chizu Joho), geocoding reference",spatial_reference;basemap_context,"Basemap, geocoding, and spatial reference for the analysis",no,no,no,indirect,no,indirect,yes,no,ready_for_layer_level_inspection,confirm specific GSI Maps layers / Kiban Chizu Joho products and per-product terms,low,inspect_exact_layer,Reachability re-confirmed HTTP 200; prior hold was a sandbox TLS artifact.
