variable_id,concept_dimension,candidate_variable_name,variable_type,expected_measure,source_id,source_institution,source_title,use_in_project,expected_geographic_unit,expected_spatial_granularity,expected_temporal_unit,expected_temporal_coverage,data_access_route,expected_file_or_api_type,key_join_field_or_spatial_link,preprocessing_required,derived_variable_logic,license_or_terms_status,feasibility_status,priority_level,risk_or_limitation,manual_check_required_before_use,recommended_next_action,notes
ODV_001,chinese_vs_non_chinese_baseline,Chinese resident count,count,Number of Chinese nationals resident in area,R02_OFF_TGT_002,Immigration Services Agency of Japan (Shutsunyukoku Zairyu Kanricho),Statistics on foreign residents (Zairyu Gaikokujin Tokei),chinese_vs_non_chinese_baseline,Municipality (and prefecture),Municipality (shikuchoson),Biannual (Jun/Dec) / annual snapshot,Year range to confirm,ISA statistics via e-Stat (manual table selection),Excel/CSV via e-Stat (and WebAPI),Municipality code (JIS shikuchoson code),Select nationality=China rows; harmonize municipality codes across years,Direct count of Chinese nationals by area,Government Standard Terms of Use (Seifu Hyojun Riyo Kiyaku); CC BY 4.0 compatible; attribution,high_feasibility,P1_core_variable,Municipality-level Chinese counts across all years not yet confirmed,yes,Confirm exact ISA/e-Stat table giving Chinese counts by municipality and time series,"Nationality-based (Chinese nationals), not Chinese-origin residents; e-Stat R02_OFF_TGT_001 is an alternate route"
ODV_002,population_baseline,Total foreign resident count,count,Number of foreign residents in area,R02_OFF_TGT_002,Immigration Services Agency of Japan (Shutsunyukoku Zairyu Kanricho),Statistics on foreign residents (Zairyu Gaikokujin Tokei),population_baseline,Municipality (and prefecture),Municipality (shikuchoson),Biannual / annual snapshot,Year range to confirm,ISA statistics via e-Stat (manual table selection),Excel/CSV via e-Stat (and WebAPI),Municipality code (JIS shikuchoson code),Sum all nationalities or take total row; harmonize codes,Total foreign residents by area,Government Standard Terms of Use (Seifu Hyojun Riyo Kiyaku); CC BY 4.0 compatible; attribution,high_feasibility,P1_core_variable,Total-foreign vs registered-resident definitions must be kept consistent,yes,Confirm total foreign-resident table and definition consistent with Chinese-count table,Denominator for Chinese share; e-Stat R02_OFF_TGT_001 alternate route
ODV_003,chinese_vs_non_chinese_baseline,Non-Chinese foreign resident count,count,Total foreign residents minus Chinese nationals,R02_OFF_TGT_002,Immigration Services Agency of Japan (Shutsunyukoku Zairyu Kanricho),Statistics on foreign residents (Zairyu Gaikokujin Tokei),chinese_vs_non_chinese_baseline,Municipality (and prefecture),Municipality (shikuchoson),Biannual / annual snapshot,Year range to confirm,Derived from ODV_002 minus ODV_001,Derived (no separate download),Municipality code (JIS shikuchoson code),Subtract Chinese count from total foreign count for matching area-year,non_chinese = total_foreign - chinese_nationals,Government Standard Terms of Use (Seifu Hyojun Riyo Kiyaku); CC BY 4.0 compatible; attribution,high_feasibility,P1_core_variable,Only valid if both inputs share identical area-year and category definitions,yes,Verify category consistency before subtraction; do not mix definitions,Derived variable; depends on ODV_001 and ODV_002
ODV_004,chinese_vs_non_chinese_baseline,Chinese share of foreign residents,ratio,Chinese count / total foreign count,R02_OFF_TGT_002,Immigration Services Agency of Japan (Shutsunyukoku Zairyu Kanricho),Statistics on foreign residents (Zairyu Gaikokujin Tokei),chinese_vs_non_chinese_baseline,Municipality (and prefecture),Municipality (shikuchoson),Biannual / annual snapshot,Year range to confirm,Derived from ODV_001 / ODV_002,Derived (no separate download),Municipality code (JIS shikuchoson code),Divide Chinese count by total foreign count; guard zero denominators,chinese_share = chinese_nationals / total_foreign,Government Standard Terms of Use (Seifu Hyojun Riyo Kiyaku); CC BY 4.0 compatible; attribution,high_feasibility,P1_core_variable,Small-area instability where foreign population is very small,yes,Confirm denominator definition; flag low-count municipalities,Derived ratio; depends on ODV_001 and ODV_002
ODV_005,population_baseline,Foreign resident share of total population,rate,Foreign residents / total population,R02_OFF_TGT_001,Statistics Bureau of Japan / e-Stat,e-Stat portal of official statistics (Seifu Tokei no Sogo Madoguchi),population_baseline,Municipality (and prefecture),Municipality (shikuchoson),Annual / census year,Year range to confirm,e-Stat (total population) combined with ISA/e-Stat foreign counts,CSV/Excel download and WebAPI,Municipality code (JIS shikuchoson code),Join foreign count to total population by area-year; align vintages,foreign_share = total_foreign / total_population,Government Standard Terms of Use (Seifu Hyojun Riyo Kiyaku); CC BY 4.0 compatible; attribution,high_feasibility,P1_core_variable,Population denominator vintage may differ from foreign-resident vintage,yes,Identify matching total-population table and align reference dates,Combines e-Stat population (001) with ISA foreign counts (002)
ODV_006,population_baseline,Chinese resident density,density,Chinese count per unit area,R02_OFF_TGT_002,Immigration Services Agency of Japan (Shutsunyukoku Zairyu Kanricho),Statistics on foreign residents (Zairyu Gaikokujin Tokei),population_baseline,Municipality / mesh,Municipality (shikuchoson); mesh if available,Snapshot per area-year,Year range to confirm,ISA counts joined to area denominator from NLNI/GSI,Excel/CSV + GIS area layer,Municipality code + boundary polygon area,Compute area from boundary layer; divide Chinese count by area,chinese_density = chinese_nationals / area_km2,NLNI Terms of Use (Kokudo Suchi Joho Riyo Yakkan); attribution; per-layer terms vary,medium_feasibility,P2_supporting_variable,Requires spatial area denominator and consistent CRS,yes,Obtain administrative boundary area (see ODV_024/ODV_025) and confirm CRS,Depends on spatial reference layers for area denominator
ODV_007,population_baseline,Tokyo foreign-resident population cross-check / context,categorical_context,Tokyo ward/municipality foreign-resident figures,R02_OFF_TGT_004,"Tokyo Metropolitan Government, Statistics Division",Tokyo Statistics / Population of Tokyo (estimates),population_baseline,Tokyo wards and municipalities,Ward (ku) and municipality,Monthly / annual estimates,Series to confirm,Tokyo statistics website (manual table selection),Excel/CSV download (web tables),Municipality / ward code,Identify Tokyo foreign-resident tables; reconcile with ISA/e-Stat,Cross-check of Tokyo-level counts vs national tables,Official site terms; open-data terms per item to confirm,partial_feasibility_needs_manual_check,P2_supporting_variable,Overlaps e-Stat/ISA; specific variable-ready tables not yet identified,yes,Identify exact Tokyo tables; use as cross-check not primary source,Tokyo-level supplement to national population baseline
ODV_008,housing_context,Public / Toei housing policy context indicator,policy_context,Presence and nature of public-housing policy provisions,R02_OFF_TGT_007,"Tokyo Metropolitan Government, Bureau of Housing Policy",Tokyo Metropolitan Government Bureau of Housing Policy,housing_context,Tokyo Metropolis,Metropolitan / policy,Current policy snapshot,Current,Official web page (policy documents),Web pages / policy documents (not downloaded),Not spatial (qualitative context),Summarize policy provisions; no quantitative extraction,Qualitative housing-policy context only,Official site terms; open-data terms per item to confirm,context_only_not_variable_ready,P1_core_context,"Interpretive context, not a quantitative variable; no spatial housing dataset confirmed",yes,Confirm whether any public-housing location dataset exists before any variable use,"Literature context (R02_NDL_043, R02_CINII_001, R02_JSTAGE_002) supports interpretation only, not as data source"
ODV_009,housing_context,Municipal housing-support context indicator,service_context,Availability of housing support/consultation services,R02_OFF_TGT_007,"Tokyo Metropolitan Government, Bureau of Housing Policy",Tokyo Metropolitan Government Bureau of Housing Policy,housing_context,Tokyo Metropolis,Metropolitan / policy,Current policy snapshot,Current,Official web page,Web pages (not downloaded),Not spatial (qualitative context),Summarize support/consultation provisions,Qualitative service-support context only,Official site terms; open-data terms per item to confirm,context_only_not_variable_ready,P2_context,Context only; not a quantitative variable,yes,Identify any structured housing-support dataset before variable use,Supports interpretation of housing constraint module
ODV_010,housing_context,Residential land-use proxy layer,spatial_layer,Residential land-use classification as housing proxy,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,housing_context,National GIS incl. Tokyo region,Polygon land-use (mesh/parcel class),Layer-specific vintage,Vintage varies by layer,NLNI download site (per-layer),GIS files (Shapefile/GeoJSON/GML),Spatial overlay with administrative boundaries,Select land-use layer; reclassify residential; spatial join to area,Residential land-use share or presence as housing proxy,NLNI Terms of Use (Kokudo Suchi Joho Riyo Yakkan); attribution; per-layer terms vary,partial_feasibility_needs_manual_check,P2_supporting_variable,"Land use is a proxy, not direct housing supply; per-layer vintage/terms vary",yes,"Confirm exact NLNI land-use layer, vintage, and license before use",Proxy only; not a public-housing dataset
