design_id,source_id,source_name,confirmed_code_or_layer,data_domain,planned_download_status,download_or_access_method,official_landing_or_catalogue_url,official_api_or_download_url,license_or_terms_url,license_action_required,expected_raw_storage_path,expected_processed_storage_path,expected_metadata_record_path,expected_file_format,expected_encoding,expected_crs_or_spatial_reference,expected_geometry_type,expected_geographic_scope,expected_time_period,expected_key_fields,planned_variable_or_output,join_key_or_spatial_linkage,planned_preprocessing_steps,quality_checks_required,minimal_test_allowed,large_download_allowed_now,manual_check_before_download,blocking_issue,risk_level,recommended_script_or_task_name,recommended_next_action,notes
DPB1_001,R02_OFF_TGT_001,e-Stat / ISA Statistics on Foreign Residents,toukei 00250012 (Zairyu Gaikokujin Tokei),resident_foreigner_statistics,exact_id_pending_before_download,"e-Stat WebAPI getStatsList/getMetaInfo (metadata only, application id) then table selection",https://www.e-stat.go.jp/stat-search/files?toukei=00250012,https://www.e-stat.go.jp/api/,https://www.e-stat.go.jp/terms-of-use,record Government Standard Terms of Use (CC BY 4.0 compatible); record attribution (shutten),"data_raw_official/estat_isa_foreign_residents/ (local-only, gitignored)","data_processed_official/population/ (local-only, gitignored)","data_processed_official/metadata/official_source_provenance.csv (local-only, gitignored)",xlsx_or_csv_via_estat_or_json_via_webapi,UTF-8 or CP932/Shift_JIS (confirm; normalize to UTF-8),not_applicable_tabular,none_tabular,"Tokyo, Saitama, Chiba, Kanagawa (Tokyo metropolitan)",select one or aligned reference period(s); biannual Jun/Dec; confirm vintage,nationality (incl. China 01_023); status of residence; area code; count,confirmed statsDataId list for municipality-level foreign residents by nationality,official area code (municipality) -> N03 administrative area code (confirm mapping),confirm statsDataId via getStatsList; read getMetaInfo for area/category codes; do NOT bulk-pull,confirm China and total (sosu) category codes exist; confirm municipality area class present,yes_small_metadata_query_only,no,yes,exact municipality-level statsDataId and vintage not yet fixed,low,estat_isa_metadata_probe (design only),confirm_statsDataId_first,Foundational gate for the population module; no extraction until statsDataId fixed.
DPB1_002,R02_OFF_TGT_001,e-Stat WebAPI metadata query (statsDataId discovery),toukei 00250012 via WebAPI,resident_foreigner_statistics,ready_for_small_metadata_test,WebAPI getStatsList(toukei=00250012) then getMetaInfo(statsDataId); JSON metadata only,https://www.e-stat.go.jp/stat-search/files?toukei=00250012,https://www.e-stat.go.jp/api/,https://www.e-stat.go.jp/terms-of-use,application id required; keep key out of repo; record terms,"data_raw_official/estat_isa_foreign_residents/_metadata/ (local-only, gitignored)","data_processed_official/population/ (local-only, gitignored)","data_processed_official/metadata/official_source_provenance.csv (local-only, gitignored)",json_metadata,UTF-8,not_applicable_tabular,none_tabular,"Tokyo, Saitama, Chiba, Kanagawa (Tokyo metropolitan)",enumerate available reference periods from metadata,statsDataId; cdArea; cdCat (nationality/status); time codes,"mapping table: statsDataId -> area class, nationality codes, time",cdArea municipality codes -> N03 codes,design a small metadata-probe script (parameters only); store JSON metadata locally; no value extraction,response status; presence of municipality area class; China + total codes resolvable,yes_small_metadata_query_only,no,no,application id needed; statsDataId must map to confirmed table,low,estat_metadata_probe.py (design only),design_metadata_query_script,Metadata-only route; underpins DPB1_001. No bulk pull.
DPB1_003,R02_OFF_TGT_002,Chinese residents variable,nationality code 01_023 = China (ISA table family 24-12-t2),resident_foreigner_statistics,exact_id_pending_before_download,extract China count by municipality from confirmed statsDataId (later),https://www.moj.go.jp/isa/policies/statistics/toukei_ichiran_touroku.html,https://www.e-stat.go.jp/stat-search/files?toukei=00250012,https://www.e-stat.go.jp/terms-of-use,record terms (via e-Stat),"data_raw_official/estat_isa_foreign_residents/ (local-only, gitignored)",data_processed_official/population/chinese_residents.csv (local-only),"data_processed_official/metadata/official_source_provenance.csv (local-only, gitignored)",csv_derived,UTF-8,not_applicable_tabular,none_tabular,"Tokyo, Saitama, Chiba, Kanagawa (Tokyo metropolitan)",aligned with chosen population reference period,municipality_code; chinese_residents_count,chinese_residents by municipality,municipality_code -> N03,"filter nationality=China(01_023); pivot to municipality x count; (later, no extraction now)",non-negative counts; municipality coverage; code 01_023 verified in metadata,no,no,yes,depends on confirmed statsDataId (DPB1_001),low,build_chinese_residents (design only),confirm_statsDataId_first,"Nationality-based (registration), not ethnicity/origin."
DPB1_004,R02_OFF_TGT_002,Total foreign residents variable,total (sosu) all foreign residents category,resident_foreigner_statistics,exact_id_pending_before_download,extract total foreign count by municipality from confirmed statsDataId (later),https://www.moj.go.jp/isa/policies/statistics/toukei_ichiran_touroku.html,https://www.e-stat.go.jp/stat-search/files?toukei=00250012,https://www.e-stat.go.jp/terms-of-use,record terms (via e-Stat),"data_raw_official/estat_isa_foreign_residents/ (local-only, gitignored)",data_processed_official/population/total_foreign_residents.csv (local-only),"data_processed_official/metadata/official_source_provenance.csv (local-only, gitignored)",csv_derived,UTF-8,not_applicable_tabular,none_tabular,"Tokyo, Saitama, Chiba, Kanagawa (Tokyo metropolitan)",aligned with chosen population reference period,municipality_code; total_foreign_residents_count,total_foreign_residents by municipality,municipality_code -> N03,"filter nationality=total(sosu); pivot to municipality x count; (later, no extraction now)",non-negative; municipality coverage; total >= China at each municipality,no,no,yes,depends on confirmed statsDataId (DPB1_001),low,build_total_foreign_residents (design only),confirm_statsDataId_first,Denominator/comparator base for the non-Chinese construct.
DPB1_005,R02_OFF_TGT_002,Non-Chinese foreign residents construction,derived: total_foreign - chinese_residents,resident_foreigner_statistics,design_only_no_download,derived from DPB1_003 and DPB1_004 (no separate download),https://www.moj.go.jp/isa/policies/statistics/toukei_ichiran_touroku.html,https://www.e-stat.go.jp/stat-search/files?toukei=00250012,https://www.e-stat.go.jp/terms-of-use,none (derived),not_applicable_derived,data_processed_official/population/non_chinese_foreign_residents.csv (local-only),"data_processed_official/metadata/official_source_provenance.csv (local-only, gitignored)",csv_derived,UTF-8,not_applicable_tabular,none_tabular,"Tokyo, Saitama, Chiba, Kanagawa (Tokyo metropolitan)",same period as inputs,municipality_code; non_chinese_foreign_residents,"non_chinese_foreign = total_foreign - chinese_residents (per municipality, same period)",municipality_code -> N03,join total and China on municipality_code; subtract; assert >= 0,non_chinese_foreign >= 0; China <= total; no unmatched municipality codes,no,no,no,depends on DPB1_003 and DPB1_004 at the same unit/period,low,build_non_chinese_foreign (design only),confirm_statsDataId_first,Correct comparator; avoids contrasting Chinese vs all-foreigners (double counting).
DPB1_006,R02_OFF_TGT_005,NLNI N03 administrative boundaries,"N03 (v3.1, 2023-01-01)",administrative_boundary_layer,ready_for_scripted_download_later,NLNI per-prefecture download (manual or scripted) of N03 by year,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v3_1.html,https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,accept/record NLNI Riyo Yakkan; attribution required; confirm current terms URL from landing,"data_raw_official/nlni_n03_boundaries/ (local-only, gitignored)","data_processed_official/boundaries/ (local-only, gitignored)","data_processed_official/metadata/official_source_provenance.csv (local-only, gitignored)",shapefile_and_gml_jpgis2014,DBF attributes CP932/Shift_JIS likely (confirm; normalize to UTF-8),JGD2011 geographic EPSG:6668; reproject for metric ops (e.g. EPSG:6677 plane CS IX),polygon,"Tokyo, Saitama, Chiba, Kanagawa (Tokyo metropolitan)",vintage matched to population reference year (2023 v3.1 confirmed),prefecture name; municipality name; administrative area code (gyosei kuiki code),clean municipality boundary layer (study-area subset),administrative area code <-> e-Stat municipality code (base join layer),subset to 4 prefectures; fix invalid geometries; dissolve sub-parts to municipality; standardize codes; set/reproject CRS,geometry validity; unique municipality codes; no missing codes; coverage of all 4 prefectures; code match to population,no,no,yes,confirm code field matches e-Stat area codes; confirm current terms link (old 404),low,prep_n03_boundaries (design only),design_download_script_later,Base spatial unit and join layer for all spatial joins.
DPB1_007,R02_OFF_TGT_005,NLNI N02 railway lines and stations,N02 (FY2024),railway_station_accessibility_layer,ready_for_scripted_download_later,NLNI download (manual or scripted) of N02,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2024.html,https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,accept/record NLNI Riyo Yakkan; attribution required,"data_raw_official/nlni_n02_railway_station/ (local-only, gitignored)","data_processed_official/accessibility/ (local-only, gitignored)","data_processed_official/metadata/official_source_provenance.csv (local-only, gitignored)",shapefile_geojson_or_gml,DBF attributes CP932/Shift_JIS likely (confirm; normalize to UTF-8),JGD2011 geographic EPSG:6668; reproject to metric CRS for distances,line_and_point,"Tokyo, Saitama, Chiba, Kanagawa (Tokyo metropolitan)",FY2024 (2024-12-31),line name (rosenmei); operating company; station name (ekimei); railway class,station point layer and railway line layer; distance-to-nearest-station; station density proxy,spatial: stations within/near municipality polygons (N03); nearest-distance to population centroids,extract stations; resolve point-vs-platform-line geometry to representative points; dedupe stations; reproject; compute accessibility (later),point vs line geometry resolved; duplicate stations removed; station name/code present; metropolitan coverage; CRS consistent,no,no,yes,confirm station geometry representation before distance computation,low,prep_n02_railway_station (design only),design_download_script_later,Accessibility module input.
DPB1_008,R02_OFF_TGT_005,NLNI A31 flood inundation,"A31 (v4.0, FY2022)",disaster_hazard_layer,ready_for_scripted_download_later,NLNI download (manual or scripted) of A31,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A31-v4_0.html,https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,accept/record NLNI Riyo Yakkan; attribution required,"data_raw_official/nlni_a31_flood/ (local-only, gitignored)","data_processed_official/hazards/ (local-only, gitignored)","data_processed_official/metadata/official_source_provenance.csv (local-only, gitignored)",shapefile_geojson_or_gml,DBF attributes CP932/Shift_JIS likely (confirm; normalize to UTF-8),JGD2011 geographic EPSG:6668; reproject for overlay/area ops,polygon,"Tokyo, Saitama, Chiba, Kanagawa (Tokyo metropolitan)",FY2022 (v4.0),inundation depth class; related hazard attributes (confirm schema),flood exposure overlay / municipality flood-exposure indicator,spatial overlay vs N03 municipalities / population areas,subset to study area; fix geometries; reproject; intersect with municipalities; summarize exposure (later),geometry validity; depth-class schema confirmed; CRS consistent; overlap with study area,no,no,no,confirm depth-class attribute schema before overlay,medium,prep_a31_flood (design only),design_download_script_later,Preferred over Hazard Map Portal for clean downloadable hazard GIS.
DPB1_009,R02_OFF_TGT_005,NLNI A33 sediment disaster,A33 (Dosha Saigai Keikai Kuiki); per-layer detail pending,disaster_hazard_layer,exact_id_pending_before_download,open A33 datalist page first; then NLNI download (later),https://nlftp.mlit.go.jp/ksj/gml/gml_datalist.html,https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,accept/record NLNI Riyo Yakkan; attribution required,"data_raw_official/nlni_a33_sediment/ (local-only, gitignored)","data_processed_official/hazards/ (local-only, gitignored)","data_processed_official/metadata/official_source_provenance.csv (local-only, gitignored)",shapefile_geojson_or_gml (confirm per layer),CP932/Shift_JIS likely (confirm; normalize to UTF-8),JGD2011 geographic (expected; confirm per layer),polygon,"Tokyo, Saitama, Chiba, Kanagawa (Tokyo metropolitan)",per-layer vintage to confirm,sediment hazard category/class (confirm schema),sediment-disaster exposure overlay / indicator,spatial overlay vs N03 municipalities,open datalist page; confirm format/CRS/fields; then subset/overlay (later),format/CRS/vintage confirmed; geometry validity; overlap with study area,no,no,yes,A33 per-layer format/CRS/vintage not yet opened,medium,prep_a33_sediment (design only),inspect_layer_metadata_first,Catalogue id/name confirmed; individual datalist page not yet opened.
DPB1_010,R02_OFF_TGT_005,NLNI A40 tsunami inundation,A40 (Tsunami Shinsui Sotei); per-layer detail pending,disaster_hazard_layer,exact_id_pending_before_download,open A40 datalist page first; then NLNI download (later),https://nlftp.mlit.go.jp/ksj/gml/gml_datalist.html,https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,accept/record NLNI Riyo Yakkan; attribution required,"data_raw_official/nlni_a40_tsunami/ (local-only, gitignored)","data_processed_official/hazards/ (local-only, gitignored)","data_processed_official/metadata/official_source_provenance.csv (local-only, gitignored)",shapefile_geojson_or_gml (confirm per layer),CP932/Shift_JIS likely (confirm; normalize to UTF-8),JGD2011 geographic (expected; confirm per layer),polygon,"Tokyo, Saitama, Chiba, Kanagawa (Tokyo metropolitan)",per-layer vintage to confirm,tsunami inundation depth class (confirm schema),tsunami exposure overlay / indicator (coastal municipalities),spatial overlay vs N03 municipalities,open datalist page; confirm format/CRS/fields; then subset/overlay (later),format/CRS/vintage confirmed; geometry validity; coastal coverage; overlap with study area,no,no,yes,A40 per-layer detail not yet opened; tsunami mostly coastal (relevance varies inland),medium,prep_a40_tsunami (design only),inspect_layer_metadata_first,Relevance concentrated in coastal Tokyo/Chiba/Kanagawa; inland Saitama limited.
