confirmation_id,source_id,source_name,institution,confirmation_domain,target_type,exact_table_or_layer_name,official_table_id_or_layer_id,official_statistical_survey_or_dataset_name,official_catalogue_or_metadata_url,official_api_or_download_page_url,official_terms_or_license_url,confirmation_status,confirmed_geographic_scope,confirmed_spatial_unit_or_resolution,confirmed_time_period_or_update_year,confirmed_key_fields_or_attributes,confirmed_geometry_type,confirmed_crs_or_spatial_reference,confirmed_file_or_access_format,chinese_specific_field_or_category_confirmed,all_foreign_or_total_foreign_field_confirmed,non_chinese_foreign_construct_possible,population_formula_or_variable_logic,download_required_later,large_download_risk,license_status,manual_browser_check_needed,automation_feasibility,priority,risk_level,blocking_issue,recommended_next_action,notes
CFB1_001,R02_OFF_TGT_001,e-Stat portal of official statistics of Japan,Statistics Bureau of Japan / MIC (e-Stat); survey by Immigration Services Agency / MOJ,resident_foreigner_statistics,statistical_table,Zairyu Gaikokujin Tokei (Statistics on Foreign Residents) - foreign residents by nationality x area tables,government statistics code (toukei) 00250012; per-table statsDataId pending,Zairyu Gaikokujin Tokei (kyu Toroku Gaikokujin Tokei) / Statistics on Foreign Residents,https://www.e-stat.go.jp/stat-search/files?toukei=00250012,https://www.e-stat.go.jp/api/,https://www.e-stat.go.jp/terms-of-use,exact_name_confirmed_id_pending,national; Tokyo/Saitama/Chiba/Kanagawa coverable,prefecture confirmed; municipality (shikuchoson) via specific tables - confirm per table/year,monthly and annual series 1959-2025; latest releases Dec 2025 / Jul 2025,nationality/region (kokuseki/chiiki incl. China); status of residence; area (prefecture/municipality); count,none_tabular,not_applicable,xlsx_csv_via_estat_or_webapi,yes - China (Chugoku) is a discrete nationality category,yes - total (sosu) foreign residents available,yes,non_Chinese_foreign = total_foreign(sosu) - Chinese(Chugoku) at the same area and reference period,yes_later,low,"Government Standard Terms of Use (Seifu Hyojun Riyo Kiyaku), CC BY 4.0 compatible, attribution required, commercial OK",no,api_feasible_after_inspection,P1_blocking_before_download,low,exact municipality-level statsDataId and vintage not yet selected; municipality granularity varies by table/year,inspect_fields_before_download,Survey responsible org shown as Ministry of Justice; conducted by its external bureau the Immigration Services Agency. Same survey as CFB1_003.
CFB1_002,R02_OFF_TGT_001,e-Stat WebAPI (metadata discovery only),Statistics Bureau of Japan / MIC (e-Stat),resident_foreigner_statistics,API_metadata,e-Stat WebAPI getStatsList / getMetaInfo for toukei 00250012 (table and category discovery),statsDataId pending (discoverable via getStatsList for toukei=00250012),Zairyu Gaikokujin Tokei / Statistics on Foreign Residents (via e-Stat WebAPI),https://www.e-stat.go.jp/api/,https://www.e-stat.go.jp/api/,https://www.e-stat.go.jp/terms-of-use,metadata_confirmed_download_not_tested,national; Tokyo region,per confirmed statsDataId (area class cdArea),per statsDataId time dimension; latest available,statsDataId; cdArea (area); cdCat (nationality/status); time; value,none_tabular,not_applicable,json_or_csv_via_webapi,confirm cdCat code for China in getMetaInfo (China is a category in the tables),confirm cdCat code for total (sosu) in getMetaInfo,yes,same as CFB1_001; apply via cdCat codes after metadata confirmation,metadata_now_extraction_later,low,"Government Standard Terms of Use, CC BY 4.0 compatible",no,api_feasible_after_inspection,P2_needed_before_modeling,low,WebAPI application id required; statsDataId and category codes must map to the table confirmed in CFB1_001/CFB1_003,inspect_API_parameters_next,No bulk pull performed; getStatsList/getMetaInfo are metadata-only routes.
CFB1_003,R02_OFF_TGT_002,Statistics on foreign residents (Zairyu Gaikokujin Tokei),"Immigration Services Agency of Japan (ISA), external bureau of the Ministry of Justice",resident_foreigner_statistics,statistical_table,ISA Zairyu Gaikokujin Tokei: nationality x status-of-residence x area tables (distributed via e-Stat),"government statistics code 00250012; local observation: table family 24-12-t2, nationality code 01_023=China (per inventory note); confirm current statsDataId",Zairyu Gaikokujin Tokei (kyu Toroku Gaikokujin Tokei) / Statistics on Foreign Residents,https://www.moj.go.jp/isa/policies/statistics/toukei_ichiran_touroku.html,https://www.e-stat.go.jp/stat-search/files?toukei=00250012,https://www.e-stat.go.jp/terms-of-use,exact_name_confirmed_id_pending,national by nationality and area; Tokyo/Saitama/Chiba/Kanagawa,prefecture; municipality (shikuchoson-betsu) tables exist - confirm availability per year,biannual reference points (end of June and end of December),"nationality (incl. China), status of residence, prefecture/municipality, count",none_tabular,not_applicable,xlsx_csv_via_estat,yes - China is a discrete nationality (code 01_023 observed locally),yes - total (sosu) foreign residents available,yes,non_Chinese_foreign = total_foreign(sosu) - Chinese(China) by area and period; primary source for the Chinese vs non-Chinese baseline,yes_later,low,"distributed via e-Stat under Government Standard Terms of Use, CC BY 4.0 compatible",no,api_feasible_after_inspection,P1_blocking_before_download,low,municipality-level Chinese counts availability varies by year; confirm exact statsDataId and finest spatial unit,inspect_fields_before_download,"Same survey as CFB1_001 (toukei 00250012). Counts are registration-based nationality, not ethnicity/origin."
CFB1_004,R02_OFF_TGT_005,NLNI administrative boundaries layer,MLIT National Land Numerical Information (NLNI),administrative_boundary_layer,GIS_layer,Gyosei Kuiki (Administrative boundary) data,N03 (version 3.1),Kokudo Suchi Joho - Gyosei Kuiki / NLNI Administrative Boundaries,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v3_1.html,https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,exact_layer_confirmed,"national incl. Tokyo, Saitama, Chiba, Kanagawa",municipality (shikuchoson) polygons,"vintage 2023-01-01 (Reiwa 5), version 3.1; historical back to 1920",prefecture name; gun/designated-city name; municipality name; administrative area code (gyosei kuiki code),polygon,"JGD2011 geographic (B,L)",shapefile_and_gml_jpgis2014,not_applicable,not_applicable,not_applicable,join key: administrative area code -> e-Stat area code for population joins,yes_later,medium,"NLNI Terms of Use (Riyo Yakkan), attribution required; confirm current terms link from landing",yes,download_scriptable_after_inspection,P1_blocking_before_download,low,confirm administrative area code matches e-Stat area codes; pick vintage matching the population reference year,prepare_download_task,Exact layer and CRS confirmed from the official NLNI datalist page; data not downloaded.
CFB1_005,R02_OFF_TGT_005,NLNI railway and station layer,MLIT National Land Numerical Information (NLNI),rail_station_accessibility_layer,GIS_layer,Tetsudo (Railway) data - railway lines and stations (eki),N02 (FY2024 / Reiwa 6 edition),Kokudo Suchi Joho - Tetsudo / NLNI Railway,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2024.html,https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,exact_layer_confirmed,national incl. Tokyo region,railway line (line) and station (point/line) geometry,"FY2024, current as of 2024-12-31; GeoJSON available since 2016",line name (rosenmei); operating company (un-ei kaisha); station name (ekimei); railway class; operator type,line_and_point,"JGD2011 geographic (B,L)",shapefile_geojson_or_gml,not_applicable,not_applicable,not_applicable,distance-to-station / transit accessibility constructible from station geometry (plausible yes),yes_later,medium,"NLNI Terms of Use (Riyo Yakkan), attribution required",yes,download_scriptable_after_inspection,P2_needed_before_modeling,low,confirm station geometry representation (point vs platform line) before distance-to-station computation,inspect_fields_before_download,Exact layer confirmed from the official NLNI datalist page; data not downloaded.
CFB1_006,R02_OFF_TGT_005,NLNI flood inundation hazard layer,MLIT National Land Numerical Information (NLNI),disaster_or_hazard_layer,GIS_layer,Kozui Shinsui Sotei Kuiki (Flood inundation assumption zone),A31 (version 4.0),Kokudo Suchi Joho - Kozui Shinsui Sotei Kuiki / NLNI Flood Inundation Area,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A31-v4_0.html,https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,exact_layer_confirmed,national (river-unit and mesh-unit) incl. Tokyo region,polygon (river-unit and 1st-mesh-unit variants),"FY2022 (Reiwa 4), version 4.0",inundation depth class and related hazard attributes (confirm exact fields before overlay),polygon,"JGD2011 geographic (B,L)",shapefile_geojson_or_gml,not_applicable,not_applicable,not_applicable,hazard exposure overlay vs population areas after later download,yes_later,medium,"NLNI Terms of Use (Riyo Yakkan), attribution required",no,download_scriptable_after_inspection,P2_needed_before_modeling,medium,confirm depth-class attribute schema before exposure overlay,inspect_fields_before_download,Preferred over the Hazard Map Portal for clean downloadable hazard GIS. Exact id/format/CRS confirmed from the official datalist page.
CFB1_007,R02_OFF_TGT_005,NLNI sediment-disaster and tsunami hazard layers,MLIT National Land Numerical Information (NLNI),disaster_or_hazard_layer,GIS_layer,Dosha Saigai Keikai Kuiki (Sediment disaster alert area) and Tsunami Shinsui Sotei (Tsunami inundation assumption),A33 (sediment disaster alert area); A40 (tsunami inundation); A30a5 (sediment/avalanche mesh) also listed,Kokudo Suchi Joho - Dosha Saigai Keikai Kuiki (A33); Tsunami Shinsui Sotei (A40),https://nlftp.mlit.go.jp/ksj/gml/gml_datalist.html,https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,catalogue_confirmed_layer_pending,national incl. Tokyo region,polygon (per-layer detail to confirm),per-layer vintage to confirm on each datalist page,hazard category/class attributes to confirm per layer,polygon,JGD2011 geographic (expected; confirm per layer),shapefile_geojson_or_gml (expected; confirm per layer),not_applicable,not_applicable,not_applicable,additional hazard exposure overlays after later download,yes_later,medium,"NLNI Terms of Use (Riyo Yakkan), attribution required",no,download_scriptable_after_inspection,P2_needed_before_modeling,medium,exact per-layer format/CRS/vintage and attribute schema not yet opened for A33/A40,inspect_fields_before_download,Layer ids/names confirmed from the NLNI catalogue list; individual datalist pages not yet opened.
CFB1_008,R02_OFF_TGT_006,GSI base maps and Fundamental Geospatial Data,Geospatial Information Authority of Japan (GSI),basemap_or_reference_layer,reference_page,Chiriin Chizu tiles (GSI Maps) and Kiban Chizu Joho (Fundamental Geospatial Data),not_applicable (multiple products/tile layers),Chiriin Tile / Kiban Chizu Joho (Fundamental Geospatial Data),https://www.gsi.go.jp/,https://www.gsi.go.jp/kiban/,https://www.gsi.go.jp/,metadata_confirmed_download_not_tested,national incl. Tokyo region,basemap tile scale and reference vector,continuously updated basemap,"tiles (raster); Kiban Chizu Joho: boundaries, roads, buildings, elevation",raster_tiles_and_reference_vector,JGD2011; web-mercator tiles,tiles_and_kiban_chizu_joho_jpgis_gml,not_applicable,not_applicable,not_applicable,reference/basemap and geocoding; Kiban Chizu Joho can also supply boundary/building reference,maybe_later,low,GSI Terms of Use (Kokudo Chiriin Riyo Kiyaku); tiles attribution; Kiban Chizu Joho free with registration (verified round01),yes,tile_api_feasible_after_inspection,P2_needed_before_modeling,low,GSI server requires legacy-TLS in this sandbox (not re-fetched this run); Kiban Chizu Joho requires registration,inspect_license_before_download,Confirmation carried from round01 official verification; GSI pages timed out this run (known sandbox TLS restriction). Primarily reference/basemap.
CFB1_009,R02_OFF_TGT_011,Hazard Map Portal Site,MLIT / Geospatial Information Authority of Japan (GSI),web_map_export_check,web_map,Hazard Map Portal: Kasaneru Hazard Map (overlay) and Wagamachi Hazard Map (municipal links),"not_applicable (web map viewer, no layer ids exposed on landing)",Hazard Map Portal Site (MLIT/GSI),https://disaportal.gsi.go.jp/,https://disaportal.gsi.go.jp/,https://disaportal.gsi.go.jp/hazardmapportal/hazardmap/copyright/copyright.html,manual_browser_check_needed,national by municipality incl. Tokyo region,web-map overlay (flood/sediment/storm-surge/tsunami),current published hazard maps; terms updated 2024-12-09,not exposed as downloadable attributes on landing,web_map_polygon_overlays,web map (not exposed),web_viewer; no direct shapefile/geojson/geotiff download visible on landing,not_applicable,not_applicable,not_applicable,not a download source; obtain hazard GIS from NLNI (A31/A33/A40) instead,no,low,terms-of-use page present (updated 2024-12-09); data-source attribution page present; underlying hazard data largely via NLNI,yes,manual_browser_check_first,P1_blocking_before_download,high,primarily a web-map viewer; no clean GIS export visible on landing; export feasibility requires manual browser confirmation,manual_browser_check,Confirmed primarily Kasaneru/Wagamachi viewers. Use NLNI hazard layers (CFB1_006/CFB1_007) for downloadable exposure data.
CFB1_010,R02_OFF_TGT_001,e-Stat / ISA terms of use,Statistics Bureau of Japan / MIC (e-Stat); ISA tables via e-Stat,terms_or_license_check,terms_page,Government Standard Terms of Use (Seifu Hyojun Riyo Kiyaku) governing e-Stat and ISA tables,not_applicable,Seifu Hyojun Riyo Kiyaku (Government Standard Terms of Use),https://www.e-stat.go.jp/terms-of-use,https://www.e-stat.go.jp/terms-of-use,https://www.e-stat.go.jp/terms-of-use,terms_confirmed,not_applicable,not_applicable,current terms,license name; attribution (shutten) requirement; commercial use; redistribution,none,not_applicable,html,not_applicable,not_applicable,not_applicable,not_applicable,no,low,CC BY 4.0 compatible; commercial use permitted; attribution required (verified round01 + this batch),no,manual_only,P1_blocking_before_download,low,per-dataset applicability still to confirm at the exact-table selection step,inspect_license_before_download,Covers CFB1_001/002/003 population tables. ISA tables are distributed via e-Stat under the same terms.
