source_id,institution,source_title,english_working_title,year,stable_url,source_type,geographic_coverage,data_or_policy_domain,relevance_to_tokyo_chinese_project,use_in_analysis,license_or_access_note,verified_status,notes
R02_NDL_OFF_001,"法務省民事局 (Ministry of Justice, Civil Affairs Bureau)","訓令・通達・回答(5273)永住者の資格で日本に居住する中国人夫婦が妻の兄夫婦の嫡出子を養子とする創設的縁組届出について,養親となる夫婦は中華人民共和国養子縁組法第7条第2項における華僑であると認められるが,妻の兄の子は姻族であることから,同法第7条第1項及び第2項の「3代以内の同輩の傍系血族の子を養子とするとき」に該当しないため養子縁組をすることはできないとされた事例(平成22年6月23日付け法務省民一第1540号民事局民事第一課長回答)",MOJ Civil Affairs Bureau directive/response no. 5273 on adoption registration (case involving a Chinese couple residing in Japan),2010,https://ndlsearch.ndl.go.jp/books/R000000004-I10865950,official_policy_context,Japan,administrative / family-registration law (adoption); not housing,low; MOJ family-registration (adoption) directive referencing a Chinese couple residing in Japan; off-topic for housing/accessibility/services/disaster; earlier housing tag was a false positive from the word residing (kyojuu).,weak_background_only,NDL metadata only; access/license unverified; full text not downloaded,weak_relevance,NDL OpenSearch metadata-only round02; group=QG-A; verified as a Ministry of Justice Civil Affairs Bureau directive (Heisei 22 = 2010); weak/out-of-scope relevance; retained as a low-priority official-context record; manual check optional.
R02_NDL_OFF_002,"自治体国際化協会 (CLAIR, Council of Local Authorities for International Relations)",自治体国際化フォーラム,Local Government and International Relations Forum (CLAIR periodical),2005,https://ndlsearch.ndl.go.jp/books/R100000002-I000000100941-i10262576,official_policy_context,Japan (nationwide local governments),multilingual support; municipal multicultural / international policy,CLAIR periodical on local-government internationalization and multicultural coexistence; provides national municipal multilingual / administrative-service policy and practice context; not Tokyo-China specific; useful service-access / administrative background.,service_infrastructure_context,NDL metadata only; CLAIR periodical; access/license unverified; full text not downloaded,verified_by_institution_metadata,NDL OpenSearch metadata-only round02; group=QG-E; CLAIR is the Council of Local Authorities for International Relations; periodical providing municipal multilingual/multicultural context; keep in official_source_registry; consider for service/administrative context; manual check of specific issues recommended. Targeted-search round02 confirms CLAIR can support municipal multilingual / multicultural-coexistence policy context; see the live CLAIR portal record R02_OFF_TGT_016.
R02_OFF_TGT_001,総務省統計局 / 政府統計の総合窓口 (Statistics Bureau of Japan / e-Stat),政府統計の総合窓口 (e-Stat),e-Stat: portal site of official statistics of Japan,NA,https://www.e-stat.go.jp/,official_data_source,"Japan (incl. Tokyo, by prefecture/municipality)",population statistics; foreign-resident counts; census; open data,"primary portal for census and Basic Resident Register statistics, including foreign-resident population by nationality and municipality; baseline data source for the Tokyo-region population layer.",official_population_data,Official catalogue/data page; dataset NOT downloaded; access/license and data usability to confirm manually,verified_by_official_catalogue,"Targeted official-source search round02; domain=population_statistics; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
R02_OFF_TGT_002,出入国在留管理庁 (Immigration Services Agency of Japan),在留外国人統計 (旧 登録外国人統計),Statistics on foreign residents (ISA),NA,https://www.moj.go.jp/isa/policies/statistics/toukei_ichiran_touroku.html,official_data_source,Japan (by nationality and prefecture/municipality),foreign-resident population by nationality (incl. Chinese),official foreign-resident counts by nationality and area; supports the Chinese-resident population baseline for Tokyo and surrounding prefectures.,official_population_data,Official catalogue/data page; dataset NOT downloaded; access/license and data usability to confirm manually,verified_by_official_catalogue,"Targeted official-source search round02; domain=population_statistics; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
R02_OFF_TGT_003,総務省 (Ministry of Internal Affairs and Communications),住民基本台帳に基づく人口、人口動態及び世帯数,Population based on the Basic Resident Register (incl. foreign residents),NA,https://www.soumu.go.jp/main_sosiki/jichi_gyousei/daityo/jinkou_jinkoudoutai-setaisuu.html,official_data_source,Japan (by municipality),resident population incl. foreign residents by municipality,municipality-level resident population including foreign residents; supports municipal population denominators for the Tokyo region.,official_population_data,Official catalogue/data page; dataset NOT downloaded; access/license and data usability to confirm manually,verified_by_official_catalogue,"Targeted official-source search round02; domain=population_statistics; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
R02_OFF_TGT_004,"東京都総務局統計部 (Tokyo Metropolitan Government, Statistics Division)",東京都の統計 / 東京都の人口（推計）,Tokyo Statistics / Population of Tokyo (estimates),NA,https://www.toukei.metro.tokyo.lg.jp/,official_data_source,Tokyo Metropolis (by ward/municipality),Tokyo population statistics incl. foreign residents,Tokyo Metropolitan Government statistics including ward/municipality population and foreign-resident figures; core Tokyo population layer.,official_population_data,Official catalogue/data page; dataset NOT downloaded; access/license and data usability to confirm manually,verified_by_official_catalogue,"Targeted official-source search round02; domain=population_statistics; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
R02_OFF_TGT_005,国土交通省 (MLIT) 国土数値情報,国土数値情報ダウンロードサイト,National Land Numerical Information download site (MLIT),NA,https://nlftp.mlit.go.jp/ksj/,official_open_data_catalogue,Japan (national GIS layers; incl. Tokyo region),"spatial base data: boundaries, transit, land use, facilities, hazard","national GIS layers (administrative boundaries, railways/stations, land use, facilities, hazard zones) for constructing the accessibility and exposure layers of the analysis.",official_spatial_data,Official catalogue/data page; dataset NOT downloaded; access/license and data usability to confirm manually,verified_by_official_catalogue,"Targeted official-source search round02; domain=spatial_open_data; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
R02_OFF_TGT_006,"国土地理院 (Geospatial Information Authority of Japan, GSI)",地理院地図 / GSI Maps,GSI Maps (Geospatial Information Authority of Japan),NA,https://www.gsi.go.jp/,official_spatial_data,Japan (base maps; incl. Tokyo region),national base maps and geospatial reference data,authoritative base maps and geospatial reference for the spatial analysis; basemap and geocoding context.,official_spatial_data,Official catalogue/data page; dataset NOT downloaded; access/license and data usability to confirm manually,verified_by_official_page,"Targeted official-source search round02; domain=spatial_open_data. Verified by official page (2026-06-21): HTTPS GET of https://www.gsi.go.jp/ returned HTTP 200 with page title 'GSI HOME PAGE - 国土地理院'. The earlier hold was an SSL legacy-renegotiation handshake artifact in the sandbox (resolved with the legacy-server-connect TLS compatibility option), not a dead link. No dataset/PDF downloaded; GSI Maps (地理院地図) and data usability/license to confirm manually before use."
R02_OFF_TGT_007,"東京都住宅政策本部 (Tokyo Metropolitan Government, Bureau of Housing Policy)",東京都住宅政策本部,Tokyo Metropolitan Government Bureau of Housing Policy,NA,https://www.juutakuseisaku.metro.tokyo.lg.jp/,official_housing_context,Tokyo Metropolis,housing policy; public housing (Toei housing); housing consultation,"Tokyo housing policy and public (Toei) housing context, including housing support and consultation relevant to the housing-constraint module.",housing_policy_context,Official web page; not downloaded; access/license to confirm manually,verified_by_official_page,"Targeted official-source search round02; domain=housing; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
R02_OFF_TGT_008,"独立行政法人都市再生機構 (UR都市機構, Urban Renaissance Agency)",UR都市機構 (UR賃貸住宅),Urban Renaissance Agency (UR rental housing),NA,https://www.ur-net.go.jp/,quasi_official_service_infrastructure,Japan (incl. Tokyo region public rental estates),public rental housing; large housing estates,quasi-official public rental housing provider; large UR estates (e.g. in the Tokyo region) often house concentrations of foreign residents; housing-infrastructure context.,housing_policy_context,Official web page; not downloaded; access/license to confirm manually,verified_by_official_page,"Targeted official-source search round02; domain=housing; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
