inspection_id,source_id,source_name,institution,inspection_domain,inspection_target_type,candidate_table_or_layer_name,official_catalogue_or_landing_url,official_api_or_download_page_url,official_terms_or_license_url,project_dimension_supported,candidate_variable_or_output,required_geographic_scope,required_spatial_unit_or_resolution,required_time_period,expected_key_fields,expected_geometry_type,expected_file_or_access_format,chinese_specific_requirement,non_chinese_foreign_comparison_requirement,planned_check_steps,download_needed_later,large_download_risk,license_check_needed,manual_browser_check_needed,automation_feasibility,priority,risk_level,blocking_issue,recommended_next_action,notes
ITL_001,R02_OFF_TGT_001,e-Stat portal of official statistics of Japan,Statistics Bureau of Japan / MIC (e-Stat),resident_foreigner_statistics,statistical_table,Foreign residents by nationality x municipality (ISA Zairyu Gaikokujin Tokei table family hosted on e-Stat; exact table id to confirm),https://www.e-stat.go.jp/,https://www.e-stat.go.jp/,https://www.e-stat.go.jp/,population_baseline;chinese_vs_non_chinese_foreign_baseline,Chinese resident count and total foreign resident count by municipality; foreign share denominators,"Tokyo metropolitan region (Tokyo, Saitama, Chiba, Kanagawa)",municipality; sub-municipal if available,latest available reference year; one census/registration period,municipality_code; municipality_name; nationality; resident_status; count; reference_period,none_tabular,xlsx_csv_via_estat_or_api,"must isolate China (nationality) as a separate count, not folded into 'other Asia'",must allow total foreign minus Chinese at the same spatial unit and period,locate exact ISA table on e-Stat; confirm nationality breakdown includes China; confirm municipality code field; confirm reference period; record table id; do NOT download,yes_later,low,yes,yes,api_feasible_after_inspection,P1_blocking_before_download,low,"nationality is registration-based, not ethnicity/origin; spatial unit may be municipality-only",inspect_exact_table,Maps to inventory ODU_001. Nationality not ethnicity. Confirm China is a discrete category.
ITL_002,R02_OFF_TGT_001,e-Stat WebAPI (application-id based),Statistics Bureau of Japan / MIC (e-Stat),resident_foreigner_statistics,API_endpoint,e-Stat WebAPI statsData endpoint for the confirmed foreign-resident table (statsDataId to confirm),https://www.e-stat.go.jp/,https://www.e-stat.go.jp/,https://www.e-stat.go.jp/,population_baseline;chinese_vs_non_chinese_foreign_baseline,programmatic pull of the confirmed foreign-resident table by municipality and nationality,"Tokyo metropolitan region (Tokyo, Saitama, Chiba, Kanagawa)",municipality; sub-municipal if available,latest available reference year,statsDataId; cdArea(municipality); cdCat(nationality); value; time,none_tabular,json_or_csv_via_webapi,confirm nationality category code for China in the API category list,confirm total-foreign category code so non-Chinese = total minus China,register application id; inspect getStatsList/getMetaInfo parameters for the confirmed table; confirm area and category codes; do NOT bulk-pull yet,yes_later,low,yes,no,api_feasible_after_inspection,P2_needed_before_modeling,low,API application id required; statsDataId must match the table confirmed in ITL_001,inspect_API_parameters,Depends on ITL_001. Inspect metadata only at this stage.
ITL_003,R02_OFF_TGT_002,Statistics on foreign residents (Zairyu Gaikokujin Tokei),Immigration Services Agency of Japan (ISA),resident_foreigner_statistics,statistical_table,ISA foreign-resident statistics: nationality x residence area table (e.g. 24-12-t2 family observed locally; exact current table to confirm),https://www.moj.go.jp/isa/policies/statistics/toukei_ichiran_touroku.html,https://www.moj.go.jp/isa/policies/statistics/toukei_ichiran_touroku.html,https://www.e-stat.go.jp/,chinese_vs_non_chinese_foreign_baseline;population_baseline,Chinese resident baseline and non-Chinese foreign comparator by area,"Tokyo metropolitan region (Tokyo, Saitama, Chiba, Kanagawa)",prefecture and municipality (confirm municipality availability vs prefecture-only),latest June and/or December reference period,nationality; residence_status; prefecture; municipality; count; reference_period,none_tabular,xlsx_csv_via_estat_or_isa_page,China must be a discrete nationality row at the chosen spatial unit,construct non-Chinese foreign residents = all foreign residents - Chinese residents at the same unit and period,confirm latest reference table; confirm municipality vs prefecture-only granularity; confirm join key to boundary codes; record table id; do NOT download,yes_later,low,yes,yes,api_feasible_after_inspection,P1_blocking_before_download,low,municipality-level nationality detail may be limited; comparator must exclude Chinese to avoid double counting,inspect_exact_table,Maps to inventory ODU_002. Distributed via e-Stat; nationality-based registration counts.
ITL_004,R02_OFF_TGT_003,Population based on the Basic Resident Register (incl. foreign residents),Ministry of Internal Affairs and Communications (MIC),population_table,statistical_table,Basic Resident Register population by municipality (incl. foreign residents; exact table to confirm),https://www.soumu.go.jp/main_sosiki/jichi_gyousei/daityo/jinkou_jinkoudoutai-setaisuu.html,https://www.e-stat.go.jp/,https://www.e-stat.go.jp/,population_baseline,municipality resident population denominators including foreign residents,"Tokyo metropolitan region (Tokyo, Saitama, Chiba, Kanagawa)",municipality,latest annual reference,municipality_code; municipality_name; total_population; foreign_population; households,none_tabular,xlsx_csv_or_pdf_via_estat,check whether any Chinese-specific breakdown exists; likely aggregate foreign total only,"provides total foreign for cross-check of denominators, not nationality split",confirm whether nationality breakdown to Chinese exists or only aggregate foreign total; use as denominator cross-check; do NOT download,yes_later,low,yes,no,api_feasible_after_inspection,P2_needed_before_modeling,low,may not split Chinese specifically; serves as denominator cross-check only,inspect_exact_table,Maps to inventory ODU_003. Denominator reconciliation source.
ITL_005,R02_OFF_TGT_004,Tokyo Statistics / Population of Tokyo (estimates),"Tokyo Metropolitan Government, Statistics Division",population_table,statistical_table,Tokyo population by ward/municipality incl. foreign residents (exact table to confirm),https://www.toukei.metro.tokyo.lg.jp/,https://www.toukei.metro.tokyo.lg.jp/,https://www.toukei.metro.tokyo.lg.jp/,population_baseline;chinese_vs_non_chinese_foreign_baseline,Tokyo ward/municipality population and foreign-resident figures for cross-check,Tokyo Metropolis (cross-check only),ward and municipality,latest monthly estimate and annual,ward_or_municipality; total_population; foreign_population; reference_period,none_tabular,xlsx_csv_or_pdf,confirm whether nationality detail (Chinese) is present; otherwise cross-check only,cross-check of foreign totals against e-Stat/ISA,confirm foreign-resident and nationality detail; reconcile with e-Stat/ISA municipality figures; confirm terms; do NOT download,yes_later,low,yes,yes,manual_or_semi_automated,P3_context_only,low,terms to confirm manually; nationality detail uncertain,inspect_exact_table,Maps to inventory ODU_004. Tokyo-specific cross-check.
ITL_006,R02_OFF_TGT_005,NLNI candidate layer family: administrative boundaries,MLIT National Land Numerical Information (NLNI),administrative_boundary_layer,GIS_layer,NLNI administrative boundary candidate layer family (administrative area polygons with municipality codes; exact layer id to confirm),https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,spatial_reference,consistent municipality / small-area geometry for joins and mapping,"Tokyo metropolitan region (Tokyo, Saitama, Chiba, Kanagawa)",municipality and sub-municipal where available,most recent boundary snapshot,municipality_code; municipality_name; prefecture_code; boundary_year,polygon,shapefile_geojson_or_gml,none (geometry only); must join to population by municipality code,none (geometry only),"open exact NLNI administrative boundary layer page; confirm year, municipality code field, and CRS; confirm per-layer license; do NOT download",yes_later,medium,yes,yes,download_scriptable_after_inspection,P1_blocking_before_download,low,exact layer/year not yet opened; code field and CRS must match population join key,inspect_exact_layer,Maps to inventory ODU_005. Candidate layer family only; exact layer not yet opened.
ITL_007,R02_OFF_TGT_006,GSI Maps / base maps and geospatial reference,Geospatial Information Authority of Japan (GSI),basemap_or_reference_layer,GIS_layer,GSI base map tiles and Fundamental Geospatial Data (Kiban Chizu Joho) reference products (exact products to confirm),https://www.gsi.go.jp/,https://www.gsi.go.jp/,https://www.gsi.go.jp/,spatial_reference;basemap_context,"basemap, geocoding reference, and CRS reference for the spatial analysis","Tokyo metropolitan region (Tokyo, Saitama, Chiba, Kanagawa)",basemap scale / reference geometry,current continuously-updated basemap,tile_url_template; product_name; CRS; attribution,raster_tiles_and_reference_vector,tiles_pdf_and_basemap_data,none (reference only),none (reference only),confirm which GSI Maps layers / Kiban Chizu Joho products are needed; confirm registration requirement and per-product terms; do NOT download,maybe_later,low,yes,yes,tile_api_feasible_after_inspection,P2_needed_before_modeling,low,Fundamental Geospatial Data may require registration; per-product terms to confirm,inspect_exact_layer,Maps to inventory ODU_010. Reference/basemap support; complements NLNI boundaries.
ITL_008,R02_OFF_TGT_005,NLNI candidate layer family: railways and stations,MLIT National Land Numerical Information (NLNI),rail_station_accessibility_layer,GIS_layer,NLNI railway/station candidate layer family (railway lines and station points; exact layer id to confirm),https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,transit_accessibility,distance-to-station and transit-accessibility measures,"Tokyo metropolitan region (Tokyo, Saitama, Chiba, Kanagawa)",station point and railway line geometry,most recent layer snapshot,station_name; line_name; operator; station_point_geometry; update_year,point_and_line,shapefile_geojson_or_gml,none (geometry only); accessibility joined to population areas later,none (geometry only),"open exact NLNI railway/station layer page; confirm station point geometry, line geometry, station names, update year, and license; confirm distance-to-station is constructible; do NOT download",yes_later,medium,yes,yes,download_scriptable_after_inspection,P2_needed_before_modeling,low,exact layer/currency/completeness not yet verified; do not invent layer id,inspect_exact_layer,Maps to inventory ODU_006. Candidate layer family only.
ITL_009,R02_OFF_TGT_005,NLNI candidate layer family: land use,MLIT National Land Numerical Information (NLNI),land_use_or_housing_context_layer,GIS_layer,NLNI land-use candidate layer family (land use classes by mesh or polygon; exact layer id to confirm),https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,spatial_reference;housing_context,land-use context for housing / built-environment interpretation,"Tokyo metropolitan region (Tokyo, Saitama, Chiba, Kanagawa)",mesh or polygon,most recent layer snapshot,land_use_class; mesh_or_polygon_id; year,polygon_or_mesh,shapefile_geojson_or_gml,none (context layer),none (context layer),"open exact NLNI land-use layer page; confirm classification scheme, year, and license; decide if used as housing/built-environment context; do NOT download",maybe_later,medium,yes,yes,download_scriptable_after_inspection,P3_context_only,medium,classification scheme and currency to verify; context use only,inspect_exact_layer,Maps to inventory ODU_007. Candidate layer family only; context for housing module.
ITL_010,R02_OFF_TGT_005,NLNI candidate layer family: public facilities,MLIT National Land Numerical Information (NLNI),public_facility_or_service_layer,GIS_layer,NLNI public facility candidate layer family (public facility points; exact layer id to confirm),https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,service_infrastructure_context,"service/facility accessibility context (schools, public facilities)","Tokyo metropolitan region (Tokyo, Saitama, Chiba, Kanagawa)",point geometry,most recent layer snapshot,facility_name; facility_category; point_geometry; year,point,shapefile_geojson_or_gml,none (context layer),none (context layer),"open exact NLNI facilities layer page; confirm categories, completeness, year, and license; decide if used for service accessibility; do NOT download",maybe_later,medium,yes,yes,download_scriptable_after_inspection,P3_context_only,medium,facility coverage and currency to verify,inspect_exact_layer,Maps to inventory ODU_008. Candidate layer family only.
