source_id,Japanese_source_name,Chinese_description,provider,official_status,data_content,spatial_unit,temporal_coverage,target_variable_or_use,relevance_to_project,current_local_status,can_support_application_claim,limitations,recommended_application_sentence,notes
MJO_01,"在留外国人統計 (旧 登録外国人統計), 出入国在留管理庁",出入国在留管理厅在留外国人统计：按国籍与都道府县/市区町村的在留外国人数(含中国籍),Immigration Services Agency of Japan (ISA) / Ministry of Justice,official,"Foreign-resident counts by nationality, residence status, and area (incl. Chinese nationals)",prefecture / municipality (ku-shi-cho-son),2012-2025 (semi-annual/annual series),Chinese-resident stock (X) and growth panel; denominators by nationality,Core population layer for Chinese-resident distribution and change in Greater Tokyo,partially_collected,YES,Nationality x area cross-tabs vary by year; status-of-residence detail not always at municipality level,本研究以出入国在留管理厅《在留外国人统计》为基础，构建2012-2025年东京都市圈分市区町村的中国籍人口存量与变动面板。,Locally normalized ISA/MOJ T2 Chinese-stock panel exists (isa_moj_* build notes); repo registry id R02_OFF_TGT_002
MJO_02,"政府統計の総合窓口 (e-Stat), 総務省統計局",政府统计综合窗口 e-Stat：国势调查、住民基本台帐人口等官方统计的统一门户与API,Statistics Bureau of Japan / e-Stat,official,"Census, Basic Resident Register, Economic Census and other official statistics; REST API",prefecture / municipality / mesh,"multi-year (incl. 2020 Census, 2021 Economic Census)","Population denominators, age structure, establishment counts; reproducible API extraction",Backbone portal for population and control variables; underpins reproducible pipeline,already_collected,YES,Table layouts and category codes require careful confirmation; large downloads not committed,人口与控制变量主要通过政府统计综合窗口(e-Stat)的官方表与REST API获取，保证数据来源权威、流程可复现。,2020 Census 00200521 municipality extraction and 2021 Economic Census 00200553 already built locally; repo id R02_OFF_TGT_001
MJO_03,"国土数値情報 N03 行政区域, 国土交通省",国土数值情报 N03 行政区域界线：市区町村行政边界面层,MLIT National Land Numerical Information (NLNI),official,Administrative boundary polygons (municipality level) with JIS codes,municipality polygon,N03-20250101 (2025-01-01 snapshot held locally),Analysis spatial frame; area_km2; join key for population and controls,Defines the municipal analysis units and enables area/density normalization,already_collected,YES,Large GIS files are local-only and not committed; metadata reconstruction required,空间分析单元采用国土交通省国土数值情报(N03)市区町村行政区域边界，并据此计算面积与密度类变量。,N03-20250101 present locally (existing_local_data_reuse_audit); JIS5 = N03_007 join key; repo id within R02_OFF_TGT_005
MJO_04,"国土数値情報 L01 地価公示, 国土交通省",国土数值情报 L01 地价公示点：公示地价(住宅/商业用地价格)空间点数据,MLIT National Land Numerical Information (NLNI),official,Official published land-price (chika kouji) points with use category and price,"point (geocoded), aggregable to municipality",L01-24 (2024) held locally for Tokyo/Saitama/Chiba/Kanagawa,Land-price / housing-cost proxy for the urban-opportunity (housing) layer,Supports housing-cost and residential-attractiveness variables in the mechanism analysis,already_collected,YES,Point sampling uneven across municipalities; aggregation method must be documented,住房成本维度以国土交通省地价公示(L01)数据为基础，按市区町村汇总作为居住空间机会结构的价格变量。,L01-24 four-prefecture points present locally; repo id within R02_OFF_TGT_005
MJO_05,"国土数値情報 N02 鉄道, 国土交通省",国土数值情报 N02 铁道(线路与车站):轨道交通线路与站点空间数据,MLIT National Land Numerical Information (NLNI),official,Railway lines and station point layer,"line / point, computable to municipality accessibility",N02-22 (2022) held locally; nearest-station features processed,Rail accessibility / nearest-station distance for the transport-opportunity layer,Supports transit-accessibility variables in residence-space differentiation analysis,already_collected,YES,Year (2022) precedes latest network changes; service frequency not included,交通可达性维度采用国土数值情报(N02)铁道线路与车站数据，计算市区町村到最近车站的距离等指标。,N02-22 and processed tokyo_pop_with_station_features present locally; repo id within R02_OFF_TGT_005
MJO_06,"経済センサス-活動調査 (2021), 政府統計 00200553 / e-Stat",经济普查-活动调查(2021):分市区町村事业所数与从业人员数,Statistics Bureau of Japan / e-Stat,official,"Establishment and employee counts (all industries), municipality level",municipality (JIS5),Reiwa-3 / 2021 Economic Census for Business Activity,Commercial density (establishments per km2); employment-opportunity / commercial-context control,Provides the commercial/employment opportunity-structure control used in mechanism models,already_collected,YES,2021 snapshot; all-industry aggregate; not foreign-employment-specific,"就业与商业机会结构以经济普查(2021,e-Stat 00200553)市区町村事业所数为基础，构建商业密度等控制变量。","commercial_density 251/251 built locally (tab=102-2021, cat01=AR); repo id R02_OFF_TGT_001 (e-Stat sub-table)"
MJO_07,"登録支援機関登録簿, 出入国在留管理庁 (DF_M01)",登录支援机关登录簿:特定技能外国人支援机构名录(机构地址、登记日期、支援语言等),Immigration Services Agency of Japan (ISA) / Ministry of Justice,official,"Registry of registered support organizations (name, address, registration date, supported languages)",organization address -> municipality,current snapshot 2026-06-18; per-record registration dates from 2019-04,Institutional migrant-support service infrastructure (M) by municipality,Operationalizes the migrant-support / settlement-service infrastructure layer,already_collected,YES,SSW/employment-oriented not broad daily-life; HQ vs service-point address; right-censors cancelled orgs; not China-specific (Chinese-language column can refine),制度性移民支援基础设施以出入国在留管理厅《登录支援机关登录簿》为基础，按机构所在市区町村统计支援机构数量。,11439 national; Greater Tokyo 3737 by address; municipality counts built locally; repo DF_M01
MJO_08,多文化共生ポータル / 外国人相談窓口 (CLAIR; 一元的相談窓口),多文化共生门户与外国人相谈窗口(一元化咨询窗口):自治体多语言咨询与生活支援据点,CLAIR (Council of Local Authorities for International Relations) / municipalities,quasi_official,Multicultural-coexistence portal and one-stop foreign-resident consultation windows,municipality / consultation-center point,current portal; window list to be compiled,Public consultation/support-window infrastructure for the service-access layer,Service-infrastructure context and a candidate consultation-window count variable,identified_not_collected,PARTIAL,"Portal verified, but a structured municipality-level consultation-window dataset is not yet collected (planned DF_M05/SRC_12)",多文化共生与生活咨询服务方面，可参照CLAIR多文化共生门户与各自治体一元化外国人相谈窗口，作为服务可达性的制度背景。,CLAIR portal verified (R02_OFF_TGT_016) and CLAIR periodical (R02_NDL_OFF_002); consultation-window dataset pending; treat as context until collected
MJO_09,"監理団体 (技能実習) 一覧, 外国人技能実習機構 (OTIT)",监理团体(技能实习)名录:技能实习制度下的监理团体(待核实、尚未在本仓库归档),Organization for Technical Intern Training (OTIT),official,List of supervising organizations (kanri dantai) for the Technical Intern Training Program,organization address -> municipality (if acquired),unknown (not yet inventoried),Potential technical-intern support infrastructure variable (complement to DF_M01),Could extend the migrant-support infrastructure layer toward technical-intern channels,needs_verification,UNKNOWN,"NOT yet documented or verified in this repo; acquisition feasibility, license, and municipality linkage unknown; would be a new M source requiring justification",(暂不写入)监理团体名录尚需核实其可获取性与数据结构，确认后方可作为技能实习支援渠道的补充来源。,Named in task list as 'if already validated or pending'; not found in repo; honestly flagged for verification before any application use; do not fabricate URL/counts
MJO_10,"ハザードマップポータルサイト, 国土交通省/国土地理院",灾害风险地图门户(洪水/地震/泥石流等):分区域灾害暴露空间数据,MLIT / GSI,official,"Flood, earthquake, sediment, storm-surge, tsunami hazard maps",raster/polygon by municipality,current portal (catalogue),Disaster-exposure layer for spatial-risk identification,Directly supports the destination spatial-risk identification objective,identified_not_collected,PARTIAL,Reachability verified but hazard layers not yet downloaded; license/usability to confirm before use,空间风险识别拟以国土交通省/国土地理院灾害风险地图门户的洪水、地震等图层构建灾害暴露指标。,Verified_by_official_catalogue (R02_OFF_TGT_011); NLNI hazard layer also candidate (DDL_006); not collected
