decision_id,source_id,candidate_variable_or_layer,dataset_or_layer_name,source_institution,decision_status,decision_date,decided_by,reason_for_download_or_api,source_url_or_catalogue_url,license_checked,license_status,data_needed_for,expected_geographic_unit,expected_year_or_version,planned_access_method,planned_storage_location,repo_commit_policy,risk_level,risk_reason,approval_required_before_download,download_completed,download_date,download_location,metadata_record_id,post_download_action,notes
DDL_001,R02_OFF_TGT_002,Chinese resident count,Statistics on foreign residents (Zairyu Gaikokujin Tokei),Immigration Services Agency of Japan,pending_user_approval,,,Chinese-vs-non-Chinese population baseline by municipality,https://www.moj.go.jp/isa/policies/statistics/toukei_ichiran_touroku.html,yes,clear,population_baseline / chinese_vs_non_chinese_baseline,Municipality (and prefecture),Year/period TBC (biannual),api,data_raw/ (gitignored) or outside-repo working folder,do_not_commit_raw_data,low,Open government statistics (Government Standard Terms); low copyright risk,yes,no,,,,record_metadata,Distributed via e-Stat; exact table/endpoint to confirm (see DAR_001)
DDL_002,R02_OFF_TGT_002,Total foreign resident count,Statistics on foreign residents (total) via e-Stat,Immigration Services Agency of Japan,pending_user_approval,,,Total foreign-resident denominator by municipality,https://www.moj.go.jp/isa/policies/statistics/toukei_ichiran_touroku.html,yes,clear,population_baseline,Municipality (and prefecture),Year/period TBC (biannual),api,data_raw/ (gitignored) or outside-repo working folder,do_not_commit_raw_data,low,Open government statistics; low copyright risk,yes,no,,,,record_metadata,Denominator for Chinese share; definition must match DDL_001 (see DAR_002)
DDL_003,R02_OFF_TGT_002,Non-Chinese foreign resident count (derived),Derived: total foreign minus Chinese nationals,Immigration Services Agency of Japan,pending_user_approval,,,Derived contrast variable; no separate download,https://www.moj.go.jp/isa/policies/statistics/toukei_ichiran_touroku.html,yes,clear,chinese_vs_non_chinese_baseline,Municipality (and prefecture),Same area-year as inputs,not_ready,data_processed/ (gitignored),do_not_commit_raw_data,low,Derived from open statistics; no new acquisition,no,no,,,,create_processing_script,Depends on DDL_001 and DDL_002; verify category consistency (see DAR_003)
DDL_004,R02_OFF_TGT_005,Administrative boundary layer,NLNI administrative boundary layer (gyosei kuiki),MLIT National Land Numerical Information,pending_user_approval,,,Spatial join base and area denominator,https://nlftp.mlit.go.jp/ksj/,partial,unclear,spatial_reference,National GIS incl. Tokyo region,Layer version TBC,manual_download,data_raw/ (gitignored) or outside-repo working folder,do_not_commit_raw_data,low,Open data with attribution; per-layer terms to confirm,yes,no,,,,store_raw_ignored,Per-layer terms/CRS to confirm; match boundary vintage to statistics year (see DAR_008)
DDL_005,R02_OFF_TGT_005,Railway station layer,NLNI railway station layer (tetsudo eki),MLIT National Land Numerical Information,pending_user_approval,,,Distance-to-station and station-density variables,https://nlftp.mlit.go.jp/ksj/,partial,unclear,transit_accessibility,National GIS incl. Tokyo region,Layer version TBC,manual_download,data_raw/ (gitignored) or outside-repo working folder,do_not_commit_raw_data,low,Open data with attribution; per-layer terms to confirm,yes,no,,,,store_raw_ignored,Per-layer terms/CRS to confirm (see DAR_009)
DDL_006,R02_OFF_TGT_005,Flood/sediment hazard layer,NLNI hazard layer (e.g. shinsui sotei kuiki); Hazard Map Portal for reference,MLIT National Land Numerical Information,pending_user_approval,,,Disaster/risk exposure indicator,https://nlftp.mlit.go.jp/ksj/ ; https://disaportal.gsi.go.jp/,partial,unclear,disaster_risk_exposure,National GIS incl. Tokyo region,Hazard designation version TBC,manual_download,data_raw/ (gitignored) or outside-repo working folder,do_not_commit_raw_data,low,Open data; scenario/threshold and per-layer terms to confirm,yes,no,,,,store_raw_ignored,Prefer NLNI for extraction; portal R02_OFF_TGT_011 intermittent (see DAR_019/DAR_020/DAR_021)
DDL_007,R02_OFF_TGT_006,Basemap / spatial reference (context),GSI tiles / Fundamental Geospatial Data (Kiban Chizu Joho),Geospatial Information Authority of Japan (GSI),pending_user_approval,,,CRS / basemap reference for spatial analysis,https://www.gsi.go.jp/,partial,unclear,spatial_reference,Japan base maps incl. Tokyo region,Continuously maintained,official_page_only,no storage (context/basemap) unless fundamental data approved,do_not_commit_raw_data,medium,Tiles attribution vs fundamental-data registration; terms differ,yes,no,,,,record_metadata,Basemap/context role; fundamental data needs registration; reachable only via legacy-TLS (see DAR_014)
DDL_008,R02_OFF_TGT_013,Multilingual / service context,TSUNAGARI multilingual living information,Tokyo Metropolitan Foundation Tsunagari,hold,,,Multilingual administrative-service context,https://www.tsunagari-tokyo.jp/,no,not_checked,multilingual_administrative_context,Tokyo Metropolis,Current,official_page_only,no storage (context only),commit_metadata_only,medium,Live page not reachable in sandbox; license unconfirmed,yes,no,,,,hold,Hold; manual browser check required before any use (see DAR_023)
DDL_009,R02_OFF_TGT_002,Chinese share of foreign residents,Derived from Chinese resident count and total foreign resident count,Immigration Services Agency of Japan,pending_user_approval,,,Derived ratio requiring approved DDL_001 and DDL_002 inputs.,https://www.moj.go.jp/isa/policies/statistics/toukei_ichiran_touroku.html,no,not_checked,Chinese-vs-non-Chinese baseline / relative concentration measure.,same as DDL_001 and DDL_002,same as DDL_001 and DDL_002,derived_after_source_download,data_processed/ (gitignored),do_not_commit_raw_data,low,Derived from open statistics; depends on DDL_001/DDL_002 category and vintage consistency,yes,no,,,,record_metadata;compute_checksum;store_raw_ignored;create_processing_script,No download has occurred; derived after DDL_001/DDL_002 are approved and acquired (see PBA_004)
DDL_010,R02_OFF_TGT_001,Total population denominator,Exact e-Stat total population table to be identified manually,Statistics Bureau of Japan / e-Stat,pending_user_approval,,,Needed to compute foreign resident share of total population.,https://www.e-stat.go.jp/,no,not_checked,Population denominator / control variable.,"municipality or prefecture, to be confirmed","same year as foreign resident baseline, to be confirmed",manual_download_or_api_after_table_confirmation,data_raw/ (gitignored) or outside-repo working folder,do_not_commit_raw_data,medium,Exact e-Stat table not yet identified; year alignment with foreign-resident vintage required,yes,no,,,,record_metadata;compute_checksum;store_raw_ignored;create_processing_script,No download has occurred; exact e-Stat total-population table to confirm manually (see PBA_005)
