inventory_id,path,location_type,exists,is_tracked_by_git,git_status,file_or_directory,extension,size_bytes,last_modified_local,in_ignored_path,in_public_repo_path,likely_data_stage,likely_source_family,likely_variable_family,likely_spatial_unit,likely_year_or_version,likely_crs,can_be_reused_for_current_tokyo_china_workflow,reuse_category,reuse_condition,metadata_record_exists,decision_log_link_exists,needs_new_metadata_record,needs_checksum,needs_license_recheck,needs_exact_table_or_layer_recheck,needs_re_download,should_remain_local_only,public_repo_commit_allowed,risk_level,recommended_action,notes
INV_001,data/data_sources.md,repo_tracked,yes,yes,committed_clean,file,.md,3341,2026-03-24,no,yes,documentation,unknown,documentation,NA,NA,NA,yes,reuse_for_context_only,Documentation of old all-foreign baseline; useful provenance context,no,indirect,maybe,no,no,no,no,no,already_tracked,low,reuse_with_existing_metadata,"Old baseline documents all-foreign-resident ratio, NOT Chinese-vs-non-Chinese; provenance reference only"
INV_002,outputs/figures/lisa_cluster_map.png,repo_tracked,yes,yes,committed_clean,file,.png,499273,2026-04-10,no,yes,figure,unknown,foreign_population,municipality,unknown,NA,no,reuse_for_context_only,Old baseline LISA figure (all-foreign); context only,no,no,maybe,no,no,no,no,no,already_tracked,low,ignore_for_current_workflow,Prior-baseline analysis figure; not for new Chinese-vs-non-Chinese workflow
INV_003,outputs/figures/mgwr_logdist_map.png,repo_tracked,yes,yes,committed_clean,file,.png,433592,2026-04-10,no,yes,figure,unknown,foreign_population,municipality,unknown,NA,no,reuse_for_context_only,Old baseline MGWR figure; context only,no,no,maybe,no,no,no,no,no,already_tracked,low,ignore_for_current_workflow,Prior-baseline analysis figure
INV_004,outputs/round_09_extended_ols/extended_ols_summary.txt,repo_tracked,yes,yes,committed_clean,file,.txt,2154,2026-04-12,no,yes,analysis_output,unknown,foreign_population,municipality,unknown,NA,no,reuse_for_context_only,Old OLS summary (all-foreign); context only,no,no,maybe,no,no,no,no,no,already_tracked,low,ignore_for_current_workflow,Prior-baseline OLS output; not valid for Chinese-vs-non-Chinese model
INV_005,outputs/round_11_target_audit/target_audit_summary.txt,repo_tracked,yes,yes,committed_clean,file,.txt,1240,2026-04-12,no,yes,documentation,unknown,documentation,NA,unknown,NA,partial,reuse_for_context_only,Prior data_raw audit; useful as inventory cross-reference,no,no,maybe,no,no,no,no,no,already_tracked,low,manual_review_needed,Prior target/data_raw audit; cross-reference for this inventory
INV_006,data_raw,repo_untracked_ignored,yes,no,untracked_ignored,directory,,,2026-04-12,yes,no,raw,unknown,mixed,mixed,mixed,mixed,partial,reuse_after_metadata_reconstruction,Root of old raw data; per-file checks required,no,indirect,yes,yes,no,no,no,yes,no,medium,manual_review_needed,Ignored raw-data root; contains old all-foreign baseline inputs and processed tables
INV_007,data_raw/000959256.xlsx,repo_untracked_ignored,yes,no,untracked_ignored,file,.xlsx,398768,2026-03-15,yes,no,raw,eStat,foreign_population,municipality,unknown (confirm; eStat file id),NA,partial,reuse_after_metadata_reconstruction,Reusable for DDL_002/DDL_010 ONLY if nationality/total definitions confirmed; Chinese split likely absent,no,DDL_002/DDL_010,yes,yes,yes,yes,no,yes,no,medium,verify_exact_table_or_layer_before_reuse,eStat population xlsx; old baseline all-foreign; verify whether Chinese-nationality breakdown exists (DDL_001)
INV_008,data_raw/000959264.xlsx,repo_untracked_ignored,yes,no,untracked_ignored,file,.xlsx,376531,2026-03-15,yes,no,raw,eStat,foreign_population,municipality,unknown (confirm),NA,partial,reuse_after_metadata_reconstruction,"As 000959256.xlsx; confirm exact table, year, category",no,DDL_002/DDL_010,yes,yes,yes,yes,no,yes,no,medium,verify_exact_table_or_layer_before_reuse,eStat population xlsx; pair of 000959256; verify nationality/total definitions
INV_009,data_raw/HDDSWH5339.zip,repo_untracked_ignored,yes,no,untracked_ignored,file,.zip,669886,2026-03-13,yes,no,raw,eStat,foreign_population,small_area_or_municipality,unknown (census code H5339; confirm),NA,partial,reuse_after_metadata_reconstruction,Census small-area zip; may hold total population (DDL_010) and/or foreign; confirm contents/nationality,no,DDL_010,yes,yes,yes,yes,no,yes,no,medium,verify_exact_table_or_layer_before_reuse,eStat census small-area archive; matches old .gitignore HDDSWH5339/ folder; not opened deeply
INV_010,data_raw/tblT001141H5339.zip,repo_untracked_ignored,yes,no,untracked_ignored,file,.zip,1175366,2026-03-13,yes,no,raw,eStat,total_population,small_area_or_municipality,unknown (table T001141; confirm),NA,partial,reuse_after_metadata_reconstruction,eStat table archive; candidate for total-population denominator (DDL_010); confirm exact table/year,no,DDL_010,yes,yes,yes,yes,no,yes,no,medium,verify_exact_table_or_layer_before_reuse,eStat census table archive; matches old .gitignore tblT001141H5339/ folder
