spec,model,focal_term,coef,std_err_hc3,p_value,n
baseline,model1,z_log_chinese_stock_2023_12,0.427146,0.10287,3.3e-05,218
baseline,model2,z_log_service_2024_12,0.012512,0.009066,0.167568,218
baseline,model3,z_log_chinese_stock_2023_12:z_commercial_density,0.105957,0.051508,0.039676,218
baseline,model4,z_log_service_2024_12:z_housing_cost,-0.008303,0.007484,0.267213,218
A_drop_population_density,model1,z_log_chinese_stock_2023_12,0.253937,0.143395,0.076579,218
A_drop_population_density,model2,z_log_service_2024_12,0.002424,0.007901,0.759013,218
A_drop_population_density,model3,z_log_chinese_stock_2023_12:z_commercial_density,0.329211,0.038756,0.0,218
A_drop_population_density,model4,z_log_service_2024_12:z_housing_cost,-0.008535,0.004591,0.063009,218
B_drop_commercial_except_M3,model1,z_log_chinese_stock_2023_12,0.400175,0.126822,0.001603,218
B_drop_commercial_except_M3,model2,z_log_service_2024_12,0.011057,0.006874,0.107704,218
B_drop_commercial_except_M3,model3,z_log_chinese_stock_2023_12:z_commercial_density,0.105957,0.051508,0.039676,218
B_drop_commercial_except_M3,model4,z_log_service_2024_12:z_housing_cost,-0.006237,0.007327,0.394666,218
C_residualized_commercial,model1,z_log_chinese_stock_2023_12,0.427146,0.10287,3.3e-05,218
C_residualized_commercial,model2,z_log_service_2024_12,0.012512,0.009066,0.167568,218
C_residualized_commercial,model3,z_log_chinese_stock_2023_12:z_commercial_resid,0.145235,0.052419,0.005594,218
C_residualized_commercial,model4,z_log_service_2024_12:z_housing_cost,-0.008303,0.007484,0.267213,218
D_winsorized_commercial,model1,z_log_chinese_stock_2023_12,0.422696,0.10339,4.3e-05,218
D_winsorized_commercial,model2,z_log_service_2024_12,0.012201,0.008778,0.164524,218
D_winsorized_commercial,model3,z_log_chinese_stock_2023_12:z_commercial_winsor,0.098159,0.054279,0.07054,218
D_winsorized_commercial,model4,z_log_service_2024_12:z_housing_cost,-0.008279,0.007545,0.272562,218
