spec,model,n,rsquared_adj
baseline,model1,218,0.84168
baseline,model2,218,0.01948
baseline,model3,218,0.8452
baseline,model4,218,0.02337
A_drop_population_density,model1,218,0.72944
A_drop_population_density,model2,218,0.01654
A_drop_population_density,model3,218,0.79107
A_drop_population_density,model4,218,0.02807
B_drop_commercial_except_M3,model1,218,0.78201
B_drop_commercial_except_M3,model2,218,0.02395
B_drop_commercial_except_M3,model3,218,0.8452
B_drop_commercial_except_M3,model4,218,0.02646
C_residualized_commercial,model1,218,0.84168
C_residualized_commercial,model2,218,0.01948
C_residualized_commercial,model3,218,0.84887
C_residualized_commercial,model4,218,0.02337
D_winsorized_commercial,model1,218,0.83966
D_winsorized_commercial,model2,218,0.01939
D_winsorized_commercial,model3,218,0.8426
D_winsorized_commercial,model4,218,0.02348
