municipality_code,municipality_name,prefecture,establishment_count_available,area_km2_available,commercial_density_available,establishment_count,commercial_density,source_table_id,economic_census_year,notes
11101,さいたま市西区,11,YES,YES,YES,2085,71.61,0004005655,2021,establishments/area_km2
11102,さいたま市北区,11,YES,YES,YES,4453,264.16,0004005655,2021,establishments/area_km2
11103,さいたま市大宮区,11,YES,YES,YES,7313,571.21,0004005655,2021,establishments/area_km2
11104,さいたま市見沼区,11,YES,YES,YES,3922,127.81,0004005655,2021,establishments/area_km2
11105,さいたま市中央区,11,YES,YES,YES,2974,354.5,0004005655,2021,establishments/area_km2
11106,さいたま市桜区,11,YES,YES,YES,2404,128.99,0004005655,2021,establishments/area_km2
11107,さいたま市浦和区,11,YES,YES,YES,5609,487.27,0004005655,2021,establishments/area_km2
11108,さいたま市南区,11,YES,YES,YES,4583,331.53,0004005655,2021,establishments/area_km2
11109,さいたま市緑区,11,YES,YES,YES,2927,110.72,0004005655,2021,establishments/area_km2
11110,さいたま市岩槻区,11,YES,YES,YES,3963,80.59,0004005655,2021,establishments/area_km2
11201,川越市,11,YES,YES,YES,10770,98.69,0004005655,2021,establishments/area_km2
11202,熊谷市,11,YES,YES,YES,7800,48.81,0004005655,2021,establishments/area_km2
11203,川口市,11,YES,YES,YES,19059,307.67,0004005655,2021,establishments/area_km2
11206,行田市,11,YES,YES,YES,2958,43.83,0004005655,2021,establishments/area_km2
11207,秩父市,11,YES,YES,YES,3101,5.37,0004005655,2021,establishments/area_km2
11208,所沢市,11,YES,YES,YES,9413,130.54,0004005655,2021,establishments/area_km2
11209,飯能市,11,YES,YES,YES,2771,14.35,0004005655,2021,establishments/area_km2
11210,加須市,11,YES,YES,YES,3714,27.86,0004005655,2021,establishments/area_km2
11211,本庄市,11,YES,YES,YES,3239,36.11,0004005655,2021,establishments/area_km2
11212,東松山市,11,YES,YES,YES,3375,51.65,0004005655,2021,establishments/area_km2
11214,春日部市,11,YES,YES,YES,6882,104.28,0004005655,2021,establishments/area_km2
11215,狭山市,11,YES,YES,YES,4373,89.26,0004005655,2021,establishments/area_km2
11216,羽生市,11,YES,YES,YES,2109,35.96,0004005655,2021,establishments/area_km2
11217,鴻巣市,11,YES,YES,YES,3225,47.82,0004005655,2021,establishments/area_km2
11218,深谷市,11,YES,YES,YES,5136,37.12,0004005655,2021,establishments/area_km2
11219,上尾市,11,YES,YES,YES,6043,132.78,0004005655,2021,establishments/area_km2
11221,草加市,11,YES,YES,YES,7081,257.87,0004005655,2021,establishments/area_km2
11222,越谷市,11,YES,YES,YES,10579,175.6,0004005655,2021,establishments/area_km2
11223,蕨市,11,YES,YES,YES,2340,458.34,0004005655,2021,establishments/area_km2
11224,戸田市,11,YES,YES,YES,5202,286.06,0004005655,2021,establishments/area_km2
11225,入間市,11,YES,YES,YES,4639,103.79,0004005655,2021,establishments/area_km2
11227,朝霞市,11,YES,YES,YES,3602,196.45,0004005655,2021,establishments/area_km2
11228,志木市,11,YES,YES,YES,2039,225.31,0004005655,2021,establishments/area_km2
11229,和光市,11,YES,YES,YES,1952,176.85,0004005655,2021,establishments/area_km2
11230,新座市,11,YES,YES,YES,4474,196.4,0004005655,2021,establishments/area_km2
11231,桶川市,11,YES,YES,YES,2184,86.17,0004005655,2021,establishments/area_km2
11232,久喜市,11,YES,YES,YES,4731,57.41,0004005655,2021,establishments/area_km2
11233,北本市,11,YES,YES,YES,1889,95.33,0004005655,2021,establishments/area_km2
11234,八潮市,11,YES,YES,YES,4342,241.0,0004005655,2021,establishments/area_km2
11235,富士見市,11,YES,YES,YES,2863,144.85,0004005655,2021,establishments/area_km2
11237,三郷市,11,YES,YES,YES,5073,168.83,0004005655,2021,establishments/area_km2
11238,蓮田市,11,YES,YES,YES,1669,61.18,0004005655,2021,establishments/area_km2
11239,坂戸市,11,YES,YES,YES,2642,64.4,0004005655,2021,establishments/area_km2
11240,幸手市,11,YES,YES,YES,1848,54.47,0004005655,2021,establishments/area_km2
11241,鶴ヶ島市,11,YES,YES,YES,1976,111.94,0004005655,2021,establishments/area_km2
11242,日高市,11,YES,YES,YES,1714,36.1,0004005655,2021,establishments/area_km2
11243,吉川市,11,YES,YES,YES,2075,65.53,0004005655,2021,establishments/area_km2
11245,ふじみ野市,11,YES,YES,YES,2796,191.0,0004005655,2021,establishments/area_km2
11246,白岡市,11,YES,YES,YES,1334,53.52,0004005655,2021,establishments/area_km2
11301,伊奈町,11,YES,YES,YES,1233,83.37,0004005655,2021,establishments/area_km2
11324,三芳町,11,YES,YES,YES,1538,100.34,0004005655,2021,establishments/area_km2
11326,毛呂山町,11,YES,YES,YES,1056,30.99,0004005655,2021,establishments/area_km2
11327,越生町,11,YES,YES,YES,422,10.45,0004005655,2021,establishments/area_km2
11341,滑川町,11,YES,YES,YES,538,18.13,0004005655,2021,establishments/area_km2
11342,嵐山町,11,YES,YES,YES,682,22.8,0004005655,2021,establishments/area_km2
11343,小川町,11,YES,YES,YES,1020,16.9,0004005655,2021,establishments/area_km2
11346,川島町,11,YES,YES,YES,846,20.32,0004005655,2021,establishments/area_km2
11347,吉見町,11,YES,YES,YES,600,15.53,0004005655,2021,establishments/area_km2
11348,鳩山町,11,YES,YES,YES,393,15.27,0004005655,2021,establishments/area_km2
11349,ときがわ町,11,YES,YES,YES,544,9.73,0004005655,2021,establishments/area_km2
11361,横瀬町,11,YES,YES,YES,310,6.29,0004005655,2021,establishments/area_km2
11362,皆野町,11,YES,YES,YES,477,7.48,0004005655,2021,establishments/area_km2
11363,長瀞町,11,YES,YES,YES,404,13.28,0004005655,2021,establishments/area_km2
11365,小鹿野町,11,YES,YES,YES,566,3.31,0004005655,2021,establishments/area_km2
11369,東秩父村,11,YES,YES,YES,122,3.29,0004005655,2021,establishments/area_km2
11381,美里町,11,YES,YES,YES,416,12.45,0004005655,2021,establishments/area_km2
11383,神川町,11,YES,YES,YES,454,9.58,0004005655,2021,establishments/area_km2
11385,上里町,11,YES,YES,YES,955,32.73,0004005655,2021,establishments/area_km2
11408,寄居町,11,YES,YES,YES,1173,18.26,0004005655,2021,establishments/area_km2
11442,宮代町,11,YES,YES,YES,935,58.62,0004005655,2021,establishments/area_km2
11464,杉戸町,11,YES,YES,YES,1430,47.62,0004005655,2021,establishments/area_km2
11465,松伏町,11,YES,YES,YES,919,56.74,0004005655,2021,establishments/area_km2
12101,千葉市中央区,12,YES,YES,YES,10098,225.83,0004005655,2021,establishments/area_km2
12102,千葉市花見川区,12,YES,YES,YES,3844,112.43,0004005655,2021,establishments/area_km2
12103,千葉市稲毛区,12,YES,YES,YES,3974,187.26,0004005655,2021,establishments/area_km2
12104,千葉市若葉区,12,YES,YES,YES,3861,45.86,0004005655,2021,establishments/area_km2
12105,千葉市緑区,12,YES,YES,YES,2510,37.89,0004005655,2021,establishments/area_km2
12106,千葉市美浜区,12,YES,YES,YES,3539,166.96,0004005655,2021,establishments/area_km2
12202,銚子市,12,YES,YES,YES,3096,36.81,0004005655,2021,establishments/area_km2
12203,市川市,12,YES,YES,YES,11551,202.92,0004005655,2021,establishments/area_km2
12204,船橋市,12,YES,YES,YES,15194,177.46,0004005655,2021,establishments/area_km2
12205,館山市,12,YES,YES,YES,2403,21.84,0004005655,2021,establishments/area_km2
12206,木更津市,12,YES,YES,YES,5221,37.59,0004005655,2021,establishments/area_km2
12207,松戸市,12,YES,YES,YES,12947,210.94,0004005655,2021,establishments/area_km2
12208,野田市,12,YES,YES,YES,4687,45.26,0004005655,2021,establishments/area_km2
12210,茂原市,12,YES,YES,YES,3244,32.47,0004005655,2021,establishments/area_km2
12211,成田市,12,YES,YES,YES,5227,24.44,0004005655,2021,establishments/area_km2
12212,佐倉市,12,YES,YES,YES,4417,42.6,0004005655,2021,establishments/area_km2
12213,東金市,12,YES,YES,YES,2228,25.0,0004005655,2021,establishments/area_km2
12215,旭市,12,YES,YES,YES,2840,21.77,0004005655,2021,establishments/area_km2
12216,習志野市,12,YES,YES,YES,3944,188.06,0004005655,2021,establishments/area_km2
12217,柏市,12,YES,YES,YES,11976,104.37,0004005655,2021,establishments/area_km2
12218,勝浦市,12,YES,YES,YES,1006,10.69,0004005655,2021,establishments/area_km2
12219,市原市,12,YES,YES,YES,8380,22.76,0004005655,2021,establishments/area_km2
12220,流山市,12,YES,YES,YES,4241,120.06,0004005655,2021,establishments/area_km2
12221,八千代市,12,YES,YES,YES,4770,92.82,0004005655,2021,establishments/area_km2
12222,我孫子市,12,YES,YES,YES,2812,65.17,0004005655,2021,establishments/area_km2
12223,鴨川市,12,YES,YES,YES,1752,9.17,0004005655,2021,establishments/area_km2
12224,鎌ケ谷市,12,YES,YES,YES,2693,127.72,0004005655,2021,establishments/area_km2
12225,君津市,12,YES,YES,YES,3074,9.64,0004005655,2021,establishments/area_km2
12226,富津市,12,YES,YES,YES,1723,8.39,0004005655,2021,establishments/area_km2
12227,浦安市,12,YES,YES,YES,4304,228.69,0004005655,2021,establishments/area_km2
12228,四街道市,12,YES,YES,YES,2370,68.65,0004005655,2021,establishments/area_km2
12229,袖ケ浦市,12,YES,YES,YES,1952,20.59,0004005655,2021,establishments/area_km2
12230,八街市,12,YES,YES,YES,2361,31.51,0004005655,2021,establishments/area_km2
12231,印西市,12,YES,YES,YES,2427,19.61,0004005655,2021,establishments/area_km2
12232,白井市,12,YES,YES,YES,1704,48.03,0004005655,2021,establishments/area_km2
12233,富里市,12,YES,YES,YES,1533,28.45,0004005655,2021,establishments/area_km2
12234,南房総市,12,YES,YES,YES,1798,7.83,0004005655,2021,establishments/area_km2
12235,匝瑳市,12,YES,YES,YES,1514,14.92,0004005655,2021,establishments/area_km2
12236,香取市,12,YES,YES,YES,3182,12.13,0004005655,2021,establishments/area_km2
12237,山武市,12,YES,YES,YES,1635,11.14,0004005655,2021,establishments/area_km2
12238,いすみ市,12,YES,YES,YES,1475,9.37,0004005655,2021,establishments/area_km2
12239,大網白里市,12,YES,YES,YES,1289,22.19,0004005655,2021,establishments/area_km2
12322,酒々井町,12,YES,YES,YES,750,39.46,0004005655,2021,establishments/area_km2
12329,栄町,12,YES,YES,YES,456,14.03,0004005655,2021,establishments/area_km2
12342,神崎町,12,YES,YES,YES,206,10.35,0004005655,2021,establishments/area_km2
12347,多古町,12,YES,YES,YES,737,10.12,0004005655,2021,establishments/area_km2
12349,東庄町,12,YES,YES,YES,490,10.59,0004005655,2021,establishments/area_km2
12403,九十九里町,12,YES,YES,YES,620,25.37,0004005655,2021,establishments/area_km2
12409,芝山町,12,YES,YES,YES,488,11.28,0004005655,2021,establishments/area_km2
12410,横芝光町,12,YES,YES,YES,858,12.8,0004005655,2021,establishments/area_km2
12421,一宮町,12,YES,YES,YES,501,21.81,0004005655,2021,establishments/area_km2
