municipality_code,municipality_name,prefecture,in_v5_features,rail_accessibility_available,housing_cost_available,population_density_available,commercial_density_available,gap_reason,recommended_gap_action
11101,さいたま市西区,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11102,さいたま市北区,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11103,さいたま市大宮区,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11104,さいたま市見沼区,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11105,さいたま市中央区,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11106,さいたま市桜区,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11107,さいたま市浦和区,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11108,さいたま市南区,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11109,さいたま市緑区,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11110,さいたま市岩槻区,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11201,川越市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11202,熊谷市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11203,川口市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11206,行田市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11207,秩父市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11208,所沢市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11209,飯能市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11210,加須市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11211,本庄市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11212,東松山市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11214,春日部市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11215,狭山市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11216,羽生市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11217,鴻巣市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11218,深谷市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11219,上尾市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11221,草加市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11222,越谷市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11223,蕨市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11224,戸田市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11225,入間市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11227,朝霞市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11228,志木市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11229,和光市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11230,新座市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11231,桶川市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11232,久喜市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11233,北本市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11234,八潮市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11235,富士見市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11237,三郷市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11238,蓮田市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11239,坂戸市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11240,幸手市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11241,鶴ヶ島市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11242,日高市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11243,吉川市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11245,ふじみ野市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11246,白岡市,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11301,伊奈町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11324,三芳町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11326,毛呂山町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11327,越生町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11341,滑川町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11342,嵐山町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11343,小川町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11346,川島町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11347,吉見町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11348,鳩山町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11349,ときがわ町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11361,横瀬町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11362,皆野町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11363,長瀞町,11,NO,YES,NO,NO,NO,saitama_chichibu_town_village,backfill_rail_only_construct_housing_density_from_official
11365,小鹿野町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11369,東秩父村,11,NO,YES,NO,NO,NO,saitama_chichibu_town_village,backfill_rail_only_construct_housing_density_from_official
11381,美里町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11383,神川町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11385,上里町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11408,寄居町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11442,宮代町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11464,杉戸町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
11465,松伏町,11,YES,YES,YES,YES,NO,in_v5_full,use_v5
12101,千葉市中央区,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12102,千葉市花見川区,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12103,千葉市稲毛区,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12104,千葉市若葉区,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12105,千葉市緑区,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12106,千葉市美浜区,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12202,銚子市,12,NO,NO,NO,NO,NO,chiba_boso_or_eastern_city_town_village,construct_all_from_official_or_gis
12203,市川市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12204,船橋市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12205,館山市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12206,木更津市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12207,松戸市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12208,野田市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12210,茂原市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12211,成田市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12212,佐倉市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12213,東金市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12215,旭市,12,NO,NO,NO,NO,NO,chiba_boso_or_eastern_city_town_village,construct_all_from_official_or_gis
12216,習志野市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12217,柏市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12218,勝浦市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12219,市原市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12220,流山市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12221,八千代市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12222,我孫子市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12223,鴨川市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12224,鎌ケ谷市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12225,君津市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12226,富津市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12227,浦安市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12228,四街道市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12229,袖ケ浦市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12230,八街市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12231,印西市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12232,白井市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12233,富里市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12234,南房総市,12,NO,YES,NO,NO,NO,chiba_boso_or_eastern_city_town_village,backfill_rail_only_construct_housing_density_from_official
12235,匝瑳市,12,NO,NO,NO,NO,NO,chiba_boso_or_eastern_city_town_village,construct_all_from_official_or_gis
12236,香取市,12,NO,NO,NO,NO,NO,chiba_boso_or_eastern_city_town_village,construct_all_from_official_or_gis
12237,山武市,12,NO,NO,NO,NO,NO,chiba_boso_or_eastern_city_town_village,construct_all_from_official_or_gis
12238,いすみ市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12239,大網白里市,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12322,酒々井町,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12329,栄町,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12342,神崎町,12,NO,NO,NO,NO,NO,chiba_boso_or_eastern_city_town_village,construct_all_from_official_or_gis
12347,多古町,12,NO,NO,NO,NO,NO,chiba_boso_or_eastern_city_town_village,construct_all_from_official_or_gis
12349,東庄町,12,NO,NO,NO,NO,NO,chiba_boso_or_eastern_city_town_village,construct_all_from_official_or_gis
12403,九十九里町,12,NO,NO,NO,NO,NO,chiba_boso_or_eastern_city_town_village,construct_all_from_official_or_gis
12409,芝山町,12,NO,NO,NO,NO,NO,chiba_boso_or_eastern_city_town_village,construct_all_from_official_or_gis
12410,横芝光町,12,NO,NO,NO,NO,NO,chiba_boso_or_eastern_city_town_village,construct_all_from_official_or_gis
12421,一宮町,12,NO,NO,NO,NO,NO,chiba_boso_or_eastern_city_town_village,construct_all_from_official_or_gis
12422,睦沢町,12,NO,YES,NO,NO,NO,chiba_boso_or_eastern_city_town_village,backfill_rail_only_construct_housing_density_from_official
12423,長生村,12,NO,NO,NO,NO,NO,chiba_boso_or_eastern_city_town_village,construct_all_from_official_or_gis
12424,白子町,12,NO,NO,NO,NO,NO,chiba_boso_or_eastern_city_town_village,construct_all_from_official_or_gis
12426,長柄町,12,NO,YES,NO,NO,NO,chiba_boso_or_eastern_city_town_village,backfill_rail_only_construct_housing_density_from_official
