variable,n,mean,std,min,median,max
chinese_stock_2023_12,251,1899.4263,3608.5092,0.0,577.0,24515.0
chinese_stock_2024_12,251,2043.2072,3900.1829,0.0,629.0,26153.0
chinese_stock_2025_06,251,2108.6494,4016.4815,0.0,671.0,27235.0
df_m01_support_count_2024_12,251,11.6414,28.0958,0.0,4.0,228.0
df_m01_support_count_2024_06,251,9.9044,24.0216,0.0,3.0,201.0
rail_accessibility,227,6.9359,1.0641,1.4493,6.9276,9.0381
housing_cost,218,11.7496,1.0129,9.3326,11.7906,15.0215
commercial_density,251,217.3292,423.9022,1.073,98.6859,3406.8588
population_density,251,5219.5432,5521.7741,14.2722,3231.959,22413.855
non_chinese_foreign_stock,251,2455.49,3423.9551,0.0,1408.0,17935.0
chinese_growth_log_2024_12_2025_06,251,0.0333,0.1288,-0.6008,0.0292,1.3863
z_log_service_2024_12,251,0.0,1.002,-1.3252,-0.0165,3.0929
z_log_chinese_stock_2023_12,251,0.0,1.002,-2.7218,0.1781,1.8869
