model,rank,municipality_code,municipality_name,prefecture,studentized_resid,cooks_distance
model2,1,14363,松田町,14,14.3471,0.718484
model2,2,14341,大磯町,14,-4.3657,0.073938
model2,3,14364,山北町,14,-3.903,0.205357
model2,4,11361,横瀬町,11,-3.6434,0.088454
model2,5,12427,長南町,12,2.4151,0.082636
model2,6,14384,湯河原町,14,-2.2798,0.01893
model2,7,11327,越生町,11,-2.2681,0.01478
model2,8,14301,葉山町,14,1.9625,0.044097
model2,9,14211,秦野市,14,1.5136,0.009704
model2,10,13305,日の出町,13,1.3148,0.011811
model4,1,14363,松田町,14,14.2156,0.721322
model4,2,14341,大磯町,14,-4.367,0.067842
model4,3,14364,山北町,14,-3.9239,0.190145
model4,4,11361,横瀬町,11,-3.5744,0.081653
model4,5,12427,長南町,12,2.7409,0.123225
model4,6,14384,湯河原町,14,-2.306,0.017845
model4,7,11327,越生町,11,-2.0908,0.019761
model4,8,14301,葉山町,14,1.9195,0.039115
model4,9,14211,秦野市,14,1.6153,0.011198
model4,10,11348,鳩山町,11,1.4077,0.010303
