model,term,coef,std_err_hc3,t,p_value,n
model1,Intercept,0.025342,0.05531,0.4582,0.64682,218
model1,C(prefecture)[T.12],0.259471,0.092709,2.7988,0.00513,218
model1,C(prefecture)[T.13],-0.148374,0.087563,-1.6945,0.090172,218
model1,C(prefecture)[T.14],-0.236527,0.079609,-2.9711,0.002967,218
model1,z_log_chinese_stock_2023_12,0.427146,0.10287,4.1523,3.3e-05,218
model1,z_rail_accessibility,-0.01949,0.040379,-0.4827,0.629318,218
model1,z_housing_cost,0.092348,0.093902,0.9835,0.325381,218
model1,z_commercial_density,1.239154,0.15061,8.2276,0.0,218
model1,z_population_density,-1.377539,0.113639,-12.122,0.0,218
model1,z_non_chinese_foreign_stock,0.597504,0.087028,6.8657,0.0,218
model2,Intercept,0.024046,0.011633,2.067,0.038734,218
model2,C(prefecture)[T.12],0.021783,0.011182,1.948,0.05142,218
model2,C(prefecture)[T.13],0.00479,0.010427,0.4594,0.645953,218
model2,C(prefecture)[T.14],0.009792,0.015247,0.6422,0.520745,218
model2,z_log_service_2024_12,0.012512,0.009066,1.3801,0.167568,218
model2,z_log_chinese_stock_2023_12,-0.052176,0.024417,-2.1369,0.032609,218
model2,z_rail_accessibility,0.007358,0.004539,1.6212,0.104977,218
model2,z_housing_cost,0.008492,0.029003,0.2928,0.769685,218
model2,z_commercial_density,-0.006504,0.031791,-0.2046,0.83789,218
model2,z_population_density,0.033276,0.020736,1.6047,0.108553,218
model2,z_non_chinese_foreign_stock,0.013847,0.021521,0.6434,0.519934,218
model3,Intercept,-0.042012,0.062253,-0.6749,0.499764,218
model3,C(prefecture)[T.12],0.26908,0.093893,2.8658,0.004159,218
model3,C(prefecture)[T.13],-0.187659,0.091201,-2.0576,0.039624,218
model3,C(prefecture)[T.14],-0.24935,0.079138,-3.1508,0.001628,218
model3,z_log_chinese_stock_2023_12,0.349197,0.113946,3.0646,0.00218,218
model3,z_commercial_density,1.113885,0.175727,6.3387,0.0,218
model3,z_log_chinese_stock_2023_12:z_commercial_density,0.105957,0.051508,2.0571,0.039676,218
model3,z_rail_accessibility,-0.011523,0.039319,-0.2931,0.769473,218
model3,z_housing_cost,0.062547,0.088735,0.7049,0.480889,218
model3,z_population_density,-1.183577,0.169482,-6.9835,0.0,218
model3,z_non_chinese_foreign_stock,0.649838,0.092295,7.0409,0.0,218
model4,Intercept,0.031377,0.016149,1.943,0.052022,218
model4,C(prefecture)[T.12],0.022176,0.011431,1.9399,0.052387,218
model4,C(prefecture)[T.13],0.006661,0.010279,0.648,0.516964,218
model4,C(prefecture)[T.14],0.007497,0.01462,0.5128,0.608122,218
model4,z_log_service_2024_12,0.014119,0.009549,1.4787,0.139224,218
model4,z_housing_cost,0.012565,0.031923,0.3936,0.693873,218
model4,z_log_service_2024_12:z_housing_cost,-0.008303,0.007484,-1.1095,0.267213,218
model4,z_log_chinese_stock_2023_12,-0.05065,0.024262,-2.0877,0.036829,218
model4,z_rail_accessibility,0.006992,0.00461,1.5167,0.129348,218
model4,z_commercial_density,0.020607,0.025785,0.7992,0.4242,218
model4,z_population_density,0.001978,0.036304,0.0545,0.956544,218
model4,z_non_chinese_foreign_stock,0.009776,0.022155,0.4413,0.659017,218
