model,term,coef,std_err_hc3,t,p_value,n
model1,Intercept,0.000542,0.059833,0.0091,0.992779,218
model1,C(prefecture)[T.12],0.235895,0.103825,2.272,0.023084,218
model1,C(prefecture)[T.13],-0.114397,0.097693,-1.171,0.241601,218
model1,C(prefecture)[T.14],-0.197713,0.083962,-2.3548,0.018532,218
model1,z_log_chinese_stock_2023_12,0.440818,0.108605,4.0589,4.9e-05,218
model1,z_rail_accessibility,-0.013187,0.041599,-0.317,0.751235,218
model1,z_housing_cost,0.051641,0.10672,0.4839,0.628464,218
model1,z_commercial_density,1.298768,0.157246,8.2595,0.0,218
model1,z_population_density,-1.410846,0.121342,-11.6271,0.0,218
model1,z_non_chinese_foreign_stock,0.589005,0.092172,6.3903,0.0,218
model2,Intercept,0.041467,0.01084,3.8255,0.000131,218
model2,C(prefecture)[T.12],0.021303,0.014964,1.4236,0.154558,218
model2,C(prefecture)[T.13],0.017606,0.011862,1.4843,0.137723,218
model2,C(prefecture)[T.14],-0.001072,0.014016,-0.0765,0.939052,218
model2,z_log_service_2024_06,0.007246,0.011073,0.6544,0.512873,218
model2,z_log_chinese_stock_2023_12,-0.050028,0.031348,-1.5959,0.110518,218
model2,z_rail_accessibility,0.010753,0.005937,1.8111,0.070119,218
model2,z_housing_cost,-0.02963,0.01828,-1.6209,0.105045,218
model2,z_commercial_density,0.072219,0.036584,1.974,0.048376,218
model2,z_population_density,-0.009992,0.032328,-0.3091,0.757256,218
model2,z_non_chinese_foreign_stock,0.028835,0.024572,1.1735,0.240608,218
model3,Intercept,-0.078381,0.067747,-1.157,0.247287,218
model3,C(prefecture)[T.12],0.247155,0.104838,2.3575,0.018399,218
model3,C(prefecture)[T.13],-0.16043,0.100805,-1.5915,0.1115,218
model3,C(prefecture)[T.14],-0.212739,0.083181,-2.5575,0.010542,218
model3,z_log_chinese_stock_2023_12,0.349481,0.119661,2.9206,0.003494,218
model3,z_commercial_density,1.151983,0.184838,6.2324,0.0,218
model3,z_log_chinese_stock_2023_12:z_commercial_density,0.124157,0.053561,2.318,0.020447,218
model3,z_rail_accessibility,-0.003852,0.039625,-0.0972,0.922563,218
model3,z_housing_cost,0.016721,0.101376,0.1649,0.868994,218
model3,z_population_density,-1.183569,0.184692,-6.4083,0.0,218
model3,z_non_chinese_foreign_stock,0.650327,0.09786,6.6455,0.0,218
model4,Intercept,0.043985,0.0107,4.1109,3.9e-05,218
model4,C(prefecture)[T.12],0.021415,0.015156,1.413,0.15766,218
model4,C(prefecture)[T.13],0.018373,0.012298,1.494,0.135178,218
model4,C(prefecture)[T.14],-0.001781,0.013415,-0.1327,0.894396,218
model4,z_log_service_2024_06,0.008124,0.011822,0.6872,0.491938,218
model4,z_housing_cost,-0.028347,0.019922,-1.4229,0.154771,218
model4,z_log_service_2024_06:z_housing_cost,-0.002923,0.007823,-0.3736,0.708719,218
model4,z_log_chinese_stock_2023_12,-0.049607,0.031621,-1.5688,0.116691,218
model4,z_rail_accessibility,0.010589,0.006142,1.724,0.084704,218
model4,z_commercial_density,0.081573,0.035898,2.2724,0.023064,218
model4,z_population_density,-0.020692,0.037761,-0.548,0.583723,218
model4,z_non_chinese_foreign_stock,0.027214,0.025622,1.0621,0.288182,218
