municipality_code,municipality_name,prefecture,population_2024_available,area_km2_available,population_density_2024_available,population_density_2024,v5_population_density_2020,source_population,source_area,notes
11101,さいたま市西区,11,YES,YES,YES,3271.52,3272.81,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11102,さいたま市北区,11,YES,YES,YES,8920.04,8923.75,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11103,さいたま市大宮区,11,YES,YES,YES,9740.37,9744.46,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11104,さいたま市見沼区,11,YES,YES,YES,5380.6,5382.99,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11105,さいたま市中央区,11,YES,YES,YES,12290.46,12295.62,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11106,さいたま市桜区,11,YES,YES,YES,5175.9,5178.03,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11107,さいたま市浦和区,11,YES,YES,YES,14736.64,14743.06,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11108,さいたま市南区,11,YES,YES,YES,14055.29,14061.47,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11109,さいたま市緑区,11,YES,YES,YES,5055.46,5057.8,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11110,さいたま市岩槻区,11,YES,YES,YES,2286.39,2287.46,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11201,川越市,11,YES,YES,YES,3231.96,3233.04,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11202,熊谷市,11,YES,YES,YES,1201.83,1202.15,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11203,川口市,11,YES,YES,YES,9787.76,9792.43,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11206,行田市,11,YES,YES,YES,1161.83,1162.21,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11207,秩父市,11,YES,YES,YES,100.75,100.74,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11208,所沢市,11,YES,YES,YES,4763.95,4765.48,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11209,飯能市,11,YES,YES,YES,406.49,406.56,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11210,加須市,11,YES,YES,YES,841.46,841.82,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11211,本庄市,11,YES,YES,YES,861.69,861.79,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11212,東松山市,11,YES,YES,YES,1394.0,1394.39,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11214,春日部市,11,YES,YES,YES,3495.5,3497.25,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11215,狭山市,11,YES,YES,YES,3038.64,3039.55,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11216,羽生市,11,YES,YES,YES,918.35,918.7,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11217,鴻巣市,11,YES,YES,YES,1743.59,1744.2,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11218,深谷市,11,YES,YES,YES,1022.05,1022.26,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
11219,上尾市,11,YES,YES,YES,5057.4,5059.41,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
