model_id,model_family,weights_type,sample_n,focal_service_coefficient,focal_service_p_value,focal_interaction_coefficient,focal_interaction_p_value,spatial_parameter_name,spatial_parameter_estimate,spatial_parameter_p_value,conclusion_for_M_to_Y,conclusion_for_M_housing_interaction,notes
model2_OLS,OLS_baseline,none,218,0.012512,0.16757,,,,,,null_supported,not_applicable,
model4_OLS,OLS_baseline,none,218,0.014119,0.13922,-0.008303,0.26721,,,,null_supported,null_supported,
model2_SLX_queen,SLX,queen,218,0.01046,0.33148,,,,,,null_supported,not_applicable,
model4_SLX_queen,SLX,queen,218,0.011334,0.30789,-0.005705,0.44055,,,,null_supported,null_supported,
model2_SLX_knn6,SLX,knn6,218,0.013131,0.18102,,,,,,null_supported,not_applicable,
model4_SLX_knn6,SLX,knn6,218,0.013851,0.16831,-0.008504,0.31486,,,,null_supported,null_supported,
model2_SEM_queen,spatial_error,queen,217,0.012848,0.25625,,,lambda,-0.411742,,null_supported,not_applicable,
model2_SLAG_queen,spatial_lag,queen,217,0.011453,0.32847,,,rho,-0.37255,0.00056,null_supported,not_applicable,
model4_SEM_queen,spatial_error,queen,217,0.014378,0.20414,-0.007152,0.18422,lambda,-0.414522,,null_supported,null_supported,
model4_SLAG_queen,spatial_lag,queen,217,0.01328,0.25808,-0.007906,0.17246,rho,-0.376472,0.00048,null_supported,null_supported,
model2_SEM_knn6,spatial_error,knn6,218,0.012514,0.28536,,,lambda,-0.32661,,null_supported,not_applicable,
model2_SLAG_knn6,spatial_lag,knn6,218,0.013469,0.2463,,,rho,-0.388483,0.00405,null_supported,not_applicable,
model4_SEM_knn6,spatial_error,knn6,218,0.014227,0.22574,-0.007164,0.19266,lambda,-0.322073,,null_supported,null_supported,
model4_SLAG_knn6,spatial_lag,knn6,218,0.014931,0.19922,-0.007631,0.18999,rho,-0.382291,0.00449,null_supported,null_supported,
