municipality_code,municipality_name,prefecture,included_in_complete_case_218,geometry_found,geometry_valid,notes
11101,さいたま市西区,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11102,さいたま市北区,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11103,さいたま市大宮区,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11104,さいたま市見沼区,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11105,さいたま市中央区,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11106,さいたま市桜区,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11107,さいたま市浦和区,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11108,さいたま市南区,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11109,さいたま市緑区,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11110,さいたま市岩槻区,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11201,川越市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11202,熊谷市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11203,川口市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11206,行田市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11207,秩父市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11208,所沢市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11209,飯能市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11210,加須市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11211,本庄市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11212,東松山市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11214,春日部市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11215,狭山市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11216,羽生市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11217,鴻巣市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11218,深谷市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11219,上尾市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11221,草加市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11222,越谷市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11223,蕨市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11224,戸田市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11225,入間市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11227,朝霞市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11228,志木市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11229,和光市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11230,新座市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11231,桶川市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11232,久喜市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11233,北本市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11234,八潮市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11235,富士見市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11237,三郷市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11238,蓮田市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11239,坂戸市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11240,幸手市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11241,鶴ヶ島市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11242,日高市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11243,吉川市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11245,ふじみ野市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11246,白岡市,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11301,伊奈町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11324,三芳町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11326,毛呂山町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11327,越生町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11341,滑川町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11342,嵐山町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11343,小川町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11346,川島町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11347,吉見町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11348,鳩山町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11349,ときがわ町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11361,横瀬町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11362,皆野町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11363,長瀞町,11,NO,YES,YES,N03-20250101 dissolved by N03_007
11365,小鹿野町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11369,東秩父村,11,NO,YES,YES,N03-20250101 dissolved by N03_007
11381,美里町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11383,神川町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11385,上里町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11408,寄居町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11442,宮代町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11464,杉戸町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
11465,松伏町,11,YES,YES,YES,N03-20250101 dissolved by N03_007
12101,千葉市中央区,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12102,千葉市花見川区,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12103,千葉市稲毛区,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12104,千葉市若葉区,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12105,千葉市緑区,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12106,千葉市美浜区,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12202,銚子市,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12203,市川市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12204,船橋市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12205,館山市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12206,木更津市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12207,松戸市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12208,野田市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12210,茂原市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12211,成田市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12212,佐倉市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12213,東金市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12215,旭市,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12216,習志野市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12217,柏市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12218,勝浦市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12219,市原市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12220,流山市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12221,八千代市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12222,我孫子市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12223,鴨川市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12224,鎌ケ谷市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12225,君津市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12226,富津市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12227,浦安市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12228,四街道市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12229,袖ケ浦市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12230,八街市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12231,印西市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12232,白井市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12233,富里市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12234,南房総市,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12235,匝瑳市,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12236,香取市,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12237,山武市,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12238,いすみ市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12239,大網白里市,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12322,酒々井町,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12329,栄町,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12342,神崎町,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12347,多古町,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12349,東庄町,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12403,九十九里町,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12409,芝山町,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12410,横芝光町,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12421,一宮町,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12422,睦沢町,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12423,長生村,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12424,白子町,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12426,長柄町,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12427,長南町,12,YES,YES,YES,N03-20250101 dissolved by N03_007
12441,大多喜町,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12443,御宿町,12,NO,YES,YES,N03-20250101 dissolved by N03_007
12463,鋸南町,12,NO,YES,YES,N03-20250101 dissolved by N03_007
13101,千代田区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13102,中央区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13103,港区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13104,新宿区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13105,文京区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13106,台東区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13107,墨田区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13108,江東区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13109,品川区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13110,目黒区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13111,大田区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13112,世田谷区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13113,渋谷区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13114,中野区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13115,杉並区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13116,豊島区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13117,北区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13118,荒川区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13119,板橋区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13120,練馬区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13121,足立区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13122,葛飾区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13123,江戸川区,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13201,八王子市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13202,立川市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13203,武蔵野市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13204,三鷹市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13205,青梅市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13206,府中市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13207,昭島市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13208,調布市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13209,町田市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13210,小金井市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13211,小平市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13212,日野市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13213,東村山市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13214,国分寺市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13215,国立市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13218,福生市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13219,狛江市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13220,東大和市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13221,清瀬市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13222,東久留米市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13223,武蔵村山市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13224,多摩市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13225,稲城市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13227,羽村市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13228,あきる野市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13229,西東京市,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13303,瑞穂町,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13305,日の出町,13,YES,YES,YES,N03-20250101 dissolved by N03_007
13307,檜原村,13,NO,YES,YES,N03-20250101 dissolved by N03_007
13308,奥多摩町,13,NO,YES,YES,N03-20250101 dissolved by N03_007
13361,大島町,13,NO,YES,YES,N03-20250101 dissolved by N03_007
13362,利島村,13,NO,YES,YES,N03-20250101 dissolved by N03_007
13363,新島村,13,NO,YES,YES,N03-20250101 dissolved by N03_007
13364,神津島村,13,NO,YES,YES,N03-20250101 dissolved by N03_007
13381,三宅村,13,NO,YES,YES,N03-20250101 dissolved by N03_007
13382,御蔵島村,13,NO,YES,YES,N03-20250101 dissolved by N03_007
13401,八丈町,13,NO,YES,YES,N03-20250101 dissolved by N03_007
13402,青ヶ島村,13,NO,YES,YES,N03-20250101 dissolved by N03_007
13421,小笠原村,13,NO,YES,YES,N03-20250101 dissolved by N03_007
14101,横浜市鶴見区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14102,横浜市神奈川区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14103,横浜市西区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14104,横浜市中区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14105,横浜市南区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14106,横浜市保土ケ谷区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14107,横浜市磯子区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14108,横浜市金沢区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14109,横浜市港北区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14110,横浜市戸塚区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14111,横浜市港南区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14112,横浜市旭区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14113,横浜市緑区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14114,横浜市瀬谷区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14115,横浜市栄区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14116,横浜市泉区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14117,横浜市青葉区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14118,横浜市都筑区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14131,川崎市川崎区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14132,川崎市幸区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14133,川崎市中原区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14134,川崎市高津区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14135,川崎市多摩区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14136,川崎市宮前区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14137,川崎市麻生区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14151,相模原市緑区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14152,相模原市中央区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14153,相模原市南区,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14201,横須賀市,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14203,平塚市,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14204,鎌倉市,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14205,藤沢市,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14206,小田原市,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14207,茅ヶ崎市,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14208,逗子市,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14210,三浦市,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14211,秦野市,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14212,厚木市,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14213,大和市,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14214,伊勢原市,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14215,海老名市,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14216,座間市,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14217,南足柄市,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14218,綾瀬市,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14301,葉山町,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14321,寒川町,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14341,大磯町,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14342,二宮町,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14361,中井町,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14362,大井町,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14363,松田町,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14364,山北町,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14366,開成町,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14382,箱根町,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14383,真鶴町,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14384,湯河原町,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14401,愛川町,14,YES,YES,YES,N03-20250101 dissolved by N03_007
14402,清川村,14,YES,YES,YES,N03-20250101 dissolved by N03_007
